,Fname,Original,Numeric
4,BldgType,Twnhs,4
0,HouseStyle,2Story,0
1,HouseStyle,1Story,1
2,HouseStyle,1.5Fin,2
3,HouseStyle,1.5Unf,3
4,HouseStyle,SFoyer,4
5,HouseStyle,SLvl,5
6,HouseStyle,2.5Unf,6
7,HouseStyle,2.5Fin,7
0,OverallQual,7,0
1,OverallQual,6,1
2,OverallQual,8,2
3,OverallQual,5,3
4,OverallQual,9,4
5,OverallQual,4,5
6,OverallQual,10,6
7,OverallQual,3,7
8,OverallQual,1,8
9,OverallQual,2,9
0,OverallCond,5,0
1,OverallCond,8,1
2,OverallCond,6,2
3,OverallCond,7,3
4,OverallCond,4,4
5,OverallCond,2,5
6,OverallCond,3,6
7,OverallCond,9,7
8,OverallCond,1,8
0,RoofStyle,Gable,0
1,RoofStyle,Hip,1
2,RoofStyle,Gambrel,2
3,RoofStyle,Mansard,3
4,RoofStyle,Flat,4
5,RoofStyle,Shed,5
0,RoofMatl,CompShg,0
1,RoofMatl,WdShngl,1
2,RoofMatl,Metal,2
3,RoofMatl,WdShake,3
4,RoofMatl,Membran,4
5,RoofMatl,Tar&Grv,5
6,RoofMatl,Roll,6
7,RoofMatl,ClyTile,7
0,Exterior1st,VinylSd,0
1,Exterior1st,MetalSd,1
2,Exterior1st,Wd Sdng,2
3,Exterior1st,HdBoard,3
4,Exterior1st,BrkFace,4
5,Exterior1st,WdShing,5
6,Exterior1st,CemntBd,6
7,Exterior1st,Plywood,7
8,Exterior1st,AsbShng,8
9,Exterior1st,Stucco,9
10,Exterior1st,BrkComm,10
11,Exterior1st,AsphShn,11
12,Exterior1st,Stone,12
13,Exterior1st,ImStucc,13
14,Exterior1st,CBlock,14
0,Exterior2nd,VinylSd,0
1,Exterior2nd,MetalSd,1
2,Exterior2nd,Wd Shng,2
3,Exterior2nd,HdBoard,3
4,Exterior2nd,Plywood,4
5,Exterior2nd,Wd Sdng,5
6,Exterior2nd,CmentBd,6
7,Exterior2nd,BrkFace,7
8,Exterior2nd,Stucco,8
9,Exterior2nd,AsbShng,9
10,Exterior2nd,Brk Cmn,10
11,Exterior2nd,ImStucc,11
12,Exterior2nd,AsphShn,12
13,Exterior2nd,Stone,13
14,Exterior2nd,Other,14
15,Exterior2nd,CBlock,15
0,MasVnrType,,0
1,MasVnrType,BrkFace,1
2,MasVnrType,None,2
3,MasVnrType,Stone,3
4,MasVnrType,BrkCmn,4
0,ExterQual,Gd,0
1,ExterQual,TA,1
2,ExterQual,Ex,2
3,ExterQual,Fa,3
0,ExterCond,TA,0
1,ExterCond,Gd,1
2,ExterCond,Fa,2
3,ExterCond,Po,3
4,ExterCond,Ex,4
0,Foundation,PConc,0
1,Foundation,CBlock,1
2,Foundation,BrkTil,2
3,Foundation,Wood,3
4,Foundation,Slab,4
5,Foundation,Stone,5
0,BsmtQual,,0
1,BsmtQual,Gd,1
2,BsmtQual,TA,2
3,BsmtQual,Ex,3
4,BsmtQual,Fa,4
0,BsmtCond,,0
1,BsmtCond,TA,1
2,BsmtCond,Gd,2
3,BsmtCond,Fa,3
4,BsmtCond,Po,4
0,BsmtExposure,,0
1,BsmtExposure,No,1
2,BsmtExposure,Gd,2
3,BsmtExposure,Mn,3
4,BsmtExposure,Av,4
0,BsmtFinType1,,0
1,BsmtFinType1,GLQ,1
2,BsmtFinType1,ALQ,2
3,BsmtFinType1,Unf,3
4,BsmtFinType1,Rec,4
5,BsmtFinType1,BLQ,5
6,BsmtFinType1,LwQ,6
0,BsmtFinType2,,0
1,BsmtFinType2,Unf,1
2,BsmtFinType2,BLQ,2
3,BsmtFinType2,ALQ,3
4,BsmtFinType2,Rec,4
5,BsmtFinType2,LwQ,5
6,BsmtFinType2,GLQ,6
0,Heating,GasA,0
1,Heating,GasW,1
2,Heating,Grav,2
3,Heating,Wall,3
4,Heating,OthW,4
5,Heating,Floor,5
0,HeatingQC,Ex,0
1,HeatingQC,Gd,1
2,HeatingQC,TA,2
3,HeatingQC,Fa,3
4,HeatingQC,Po,4
0,CentralAir,Y,0
1,CentralAir,N,1
0,Electrical,,0
1,Electrical,SBrkr,1
2,Electrical,FuseF,2
3,Electrical,FuseA,3
4,Electrical,FuseP,4
5,Electrical,Mix,5
0,LowQualFinSF,0,0
1,LowQualFinSF,360,1
2,LowQualFinSF,513,2
3,LowQualFinSF,234,3
4,LowQualFinSF,528,4
5,LowQualFinSF,572,5
6,LowQualFinSF,144,6
7,LowQualFinSF,392,7
8,LowQualFinSF,371,8
9,LowQualFinSF,390,9
10,LowQualFinSF,420,10
11,LowQualFinSF,473,11
12,LowQualFinSF,156,12
13,LowQualFinSF,515,13
14,LowQualFinSF,80,14
15,LowQualFinSF,53,15
16,LowQualFinSF,232,16
17,LowQualFinSF,481,17
18,LowQualFinSF,120,18
19,LowQualFinSF,514,19
20,LowQualFinSF,397,20
21,LowQualFinSF,479,21
22,LowQualFinSF,205,22
23,LowQualFinSF,384,23
0,BsmtFullBath,1,0
1,BsmtFullBath,0,1
2,BsmtFullBath,2,2
3,BsmtFullBath,3,3
0,BsmtHalfBath,0,0
1,BsmtHalfBath,1,1
2,BsmtHalfBath,2,2
0,FullBath,2,0
1,FullBath,1,1
2,FullBath,3,2
3,FullBath,0,3
0,HalfBath,1,0
1,HalfBath,0,1
2,HalfBath,2,2
0,BedroomAbvGr,3,0
1,BedroomAbvGr,4,1
2,BedroomAbvGr,1,2
3,BedroomAbvGr,2,3
4,BedroomAbvGr,0,4
5,BedroomAbvGr,5,5
6,BedroomAbvGr,6,6
7,BedroomAbvGr,8,7
0,KitchenAbvGr,1,0
1,KitchenAbvGr,2,1
2,KitchenAbvGr,3,2
3,KitchenAbvGr,0,3
0,KitchenQual,Gd,0
1,KitchenQual,TA,1
2,KitchenQual,Ex,2
3,KitchenQual,Fa,3
0,TotRmsAbvGrd,8,0
1,TotRmsAbvGrd,6,1
2,TotRmsAbvGrd,7,2
3,TotRmsAbvGrd,9,3
4,TotRmsAbvGrd,5,4
5,TotRmsAbvGrd,11,5
6,TotRmsAbvGrd,4,6
7,TotRmsAbvGrd,10,7
8,TotRmsAbvGrd,12,8
9,TotRmsAbvGrd,3,9
10,TotRmsAbvGrd,14,10
0,Functional,Typ,0
1,Functional,Min1,1
2,Functional,Maj1,2
3,Functional,Min2,3
4,Functional,Mod,4
5,Functional,Maj2,5
6,Functional,Sev,6
0,Fireplaces,0,0
1,Fireplaces,1,1
2,Fireplaces,2,2
3,Fireplaces,3,3
0,GarageType,,0
1,GarageType,Attchd,1
2,GarageType,Detchd,2
3,GarageType,BuiltIn,3
4,GarageType,CarPort,4
5,GarageType,Basment,5
6,GarageType,2Types,6
0,GarageFinish,,0
1,GarageFinish,RFn,1
2,GarageFinish,Unf,2
3,GarageFinish,Fin,3
0,GarageCars,2,0
1,GarageCars,3,1
2,GarageCars,1,2
3,GarageCars,0,3
4,GarageCars,4,4
0,GarageQual,,0
1,GarageQual,TA,1
2,GarageQual,Fa,2
3,GarageQual,Gd,3
4,GarageQual,Ex,4
5,GarageQual,Po,5
0,GarageCond,,0
1,GarageCond,TA,1
2,GarageCond,Gd,2
3,GarageCond,Fa,3
4,GarageCond,Po,4
5,GarageCond,Ex,5
0,PavedDrive,Y,0
1,PavedDrive,N,1
2,PavedDrive,P,2
0,3SsnPorch,0,0
1,3SsnPorch,320,1
2,3SsnPorch,407,2
3,3SsnPorch,130,3
4,3SsnPorch,180,4
5,3SsnPorch,168,5
6,3SsnPorch,140,6
7,3SsnPorch,508,7
8,3SsnPorch,238,8
9,3SsnPorch,245,9
10,3SsnPorch,196,10
11,3SsnPorch,144,11
12,3SsnPorch,182,12
13,3SsnPorch,162,13
14,3SsnPorch,23,14
15,3SsnPorch,216,15
16,3SsnPorch,96,16
17,3SsnPorch,153,17
18,3SsnPorch,290,18
19,3SsnPorch,304,19
0,PoolArea,0,0
1,PoolArea,512,1
2,PoolArea,648,2
3,PoolArea,576,3
4,PoolArea,480,4
5,PoolArea,519,5
6,PoolArea,738,6
0,MiscVal,0,0
1,MiscVal,700,1
2,MiscVal,350,2
3,MiscVal,500,3
4,MiscVal,400,4
5,MiscVal,480,5
6,MiscVal,450,6
7,MiscVal,15500,7
8,MiscVal,1200,8
9,MiscVal,800,9
10,MiscVal,2000,10
11,MiscVal,600,11
12,MiscVal,1300,12
13,MiscVal,620,13
14,MiscVal,560,14
15,MiscVal,1400,15
16,MiscVal,8300,16
17,MiscVal,1150,17
18,MiscVal,2500,18
0,MoSold,2,0
1,MoSold,5,1
2,MoSold,9,2
3,MoSold,12,3
4,MoSold,10,4
5,MoSold,8,5
6,MoSold,11,6
7,MoSold,4,7
8,MoSold,1,8
9,MoSold,7,9
10,MoSold,3,10
11,MoSold,6,11
0,YrSold,2008,0
1,YrSold,2007,1
2,YrSold,2006,2
3,YrSold,2009,3
4,YrSold,2010,4
0,SaleType,WD,0
1,SaleType,New,1
2,SaleType,COD,2
3,SaleType,ConLD,3
4,SaleType,ConLI,4
5,SaleType,CWD,5
6,SaleType,ConLw,6
7,SaleType,Con,7
8,SaleType,Oth,8
0,SaleCondition,Normal,0
1,SaleCondition,Abnorml,1
2,SaleCondition,Partial,2
3,SaleCondition,AdjLand,3
4,SaleCondition,Alloca,4
5,SaleCondition,Family,5
