ID	twitter	label	sentence
118	Y	0	भारतीय संसद बुधवार को फिर शर्मसार हुई। राज्यसभा की कार्यवाही के दौरान बसपा और सपा के सदस्य आपस में भिड़ गए।
119	Y	0	कश्मीर के नाम पर जिहाद करने वालो अब कहा हो तुम लोग कश्मीर आओ और अपने भाइयो की मदद करो इस बुरे वक़्त मे अब फट गयी क्या तुम लोगो की
123	Y	1	हार जाउँगा मुकदमा उस अदालत में ये मुझे यकीन था जहाँ वक्त बन बैठा जज और नसीब मेरा वकील था।
124	Y	0	#WhyMediaIsSoAntiHindu भारत का मीडिया बिकाऊ देशद्रोही भ्रष्ट और हिन्दू विरोधी है | यह बात अब गूगल भी जानती है
128	Y	1	धोनी वही लौंडा है जो कोई भी लड़ाई होती है तो कह देता है मैं हूँ ना और फिर सब को पिटवा देता है। Lolz
129	Y	0	अपनी भी कहानी गजब हैं सेकुलर लोग साम्प्रदायिक बोलते हैं और कट्टर मुझे सेकुलर बोलते हैं दोनों तरफ से गाली खानी पड़ती हैं
138	Y	0	Breaking News रांची में आतंकी संगठन की धमकी 30 दिन में गांव छोड़ें वरना मार देंगे और लड़कियों को मुसलमान बना
139	Y	0	आप ही ऐसी पार्टी है जिसने सबको भ्रष्ट और मीडिया को बिकाऊ कहा और बार बार कहा। अब रणनीति में क्या बदलाव किया गया है ?
140	Y	0	शांति और दोस्ती की बातों मे आते रहे तो हमेशा नुकसान उठाते रहेंगे.धोखे से वार करता है पाकिस्तान यकीन नहीं किया जा सकता है?
144	Y	0	देखते है अब किसी की जान जायेगी ;उसने मेरी और मैने उसकी कसम खाई है 😎
147	Y	1	भैया लोगों को कोन समझाए तुमने अखिलेश को अकल एश समझ लिया खेर राहुल के आने से चुनावों पर असर तो हुआ कोंग्रेस अमेठी और रायबरेली में हार गयी
148	Y	1	हमारे देश की पत्रकारिता के क़लम मैं स्याही की जगह।। पैसा दारू और ऐयाशी है ।। अब बोलो क्या ये भजन गायेंगे
149	Y	0	क्या क्या हमारे ख्वाब थे जाने कहाँ खो गए तुम किसी और की हो गयी खुदा करे हम भी किसी और के हो जाये
151	Y	0	गुड़िया के दर्द' की दास्तां के बीच भी जबरन कमर्शियल ब्रेक कराकर हमारे चैनल डियोड्रेंट और अंडरविअर का विज्ञापन नहीं दिखाना नहीं भूल सकते
153	Y	0	आज पवेलियन में धोनी बहुत गाली खायेगा और बाहर निकलने पे अनुष्का उसके बाल भी नोच सकती है की विराट की पारी का
154	Y	1	अगर यही खुलासा किसी भारतीय क्रिकेटर ने किया होता तो मीडिया और सिक्युलर उसे ही झूठा ठहरा चुके होते
157	Y	0	मैच भी हार गए और मैच में समय व्यर्थ करके गर्लफ्रेंड से बात नहीं की तो वो भी गुस्सा हो गयी। अब इसे कहते हैं डबल भसड।
160	Y	0	क्या बिगाड़ा था हमारे कोहली रायुडू या जडेजा ने कुत्तों की मौत मरवा दिया उन्हें और मैच भी हार गया
162	Y	0	आज अनुष्का की नहीं साक्षी की बारी है। शुरू हो जाओ और निकालो अपनी भड़ास।
163	Y	0	भाई जी क्या आप बताओगे कीड़े कबसे सेक्युलर और कम्युनल हुए ? मुझे लगा ये बीमारी सिर्फ मानव प्रजाति तक सिमित है
165	Y	0	मगर जापान में बेवजह चीनी विस्तारवाद की निंदा और भारत में तिब्बती आज़ादी के विरूद्ध फरमान जारी करनेवालों से ऐसी उम्मीद रखना बेमानी
169	Y	0	एक बार भी आतंक की जड़ कुरान पर भारतीय मीडिया में चर्चा क्यों नहीं होती जब कि गीता आदि हिन्दू धर्म ग्रंथों पर हमेशा मीडिया में चर्चा होती है।
170	Y	0	बिहार शरीफ से शेखपुरा का संपर्क भंग पुल धंसने से एनएच 82 पर आवागमन ठप
171	Y	0	बस अब ये जूती अब अस्त्र बनकर केजरू और उसके आपियों पर बरसे
172	Y	0	महंगी शिक्षा पर मोहन भागवत ने जताई चिंता
173	Y	0	आखिर क्यों लोगों को यहां डर लगने लगा है? आखिर क्यों यहां की सड़कों पर बदमाश बेखौफ हैं?
174	Y	0	मध्यप्रदेश के सतना जिले के मैहर विधायक ने भी जनवरी में जूरा पंचायत के अवैध खनन के मामले में सरपंच व मीडिया कर्मियों पर हमला किया था।
178	Y	1	जब आम जनता मारे तो नक्सली भटके हुए नव जवान है और जब कांग्रेसी मरे तो लोकतंत्र पर हमला
181	Y	1	DMK ने सरकार को आधा तलाक़ दिया SP&BSP ने सरकार से आधा विवाह किया पर चाहा कर भी सुहाग रात नहीं मना सकते अपवित्र रिश्तों में ऐसा ही होता है ।
185	Y	0	पूर्व सरसंघचालक भैया जी सुदर्शन के निधन पर हार्दिक पीड़ा ईश्वर उनकी आत्मा को शांति दें.
186	Y	0	पानी को लेकर महाराष्ट्र का बुरा हाल है और नेता जनता के जख्मोँ पर नमक छिड़क रहे है वाह रे नेता
187	Y	0	मालुम नहीं ये खुन्ग्रेसी मुझे ब्लाक क्यों कर देते है सब के सब के वाल पर में कमेंट नहीं कर सकता भाई सचाई से मत भागो
188	Y	0	लोकसभा में वंदे मातरम् का गान एक परंपरा है। इस गीत में कुछ भी सांप्रदायिक नहीं लेकिन जबरन इसे मुसलिम विरोधी करार दिया जाता रहा है।
190	Y	1	पाकिस्तान आतंकवाद का शिकार हुआ है वहां तो शान्तीदूत रहते हैं
193	Y	1	माँ के बेटे जो सीमा पर लिखते हैं अपने शोणित से समझोतों वाली स्याही से दिल्ली वाले धो देते हैं
194	Y	0	1 किसान 2 महीनों से अपने सूखे खेत में सिंचाई के लिए डैम में पानी छोड़ने की मांग को लेकर अनशन पर है। लेकिन नेता सूखे का भी मज़ाक उड़ा रहे हैं
196	Y	0	आंध्र प्रदेश के हैंडलूम और टेक्सटाइल्स मंत्री शंकर राव ने अपने पीए वेंकटेश को सार्जवजनिक मंच पर जड़ा तमाचा. फोन देर से उठाने पर नाराज़ थे.
197	Y	0	किसको कैसे पत्थर मारु कौन पराया है शीश महल मैं हर एक चेहरा अपना लगता है।
199	Y	0	जब तुम्हारे दरवाजे पर कोई मांगने आता हे तो यह मत समज्ञना कि मांगने वाला है वह तुम्हे चेतावनी देने आया है
201	Y	1	पति: डार्लिंग आज बरसात हो रही है मौसम बहुत अच्छा है कोई ऐसी रोमांटिक बात कहो की मेरे पैर जमीन पर न रहे। पत्नी: डार्लिंग फांसी लगा लो
205	Y	1	1। 20 करोड़ के मैच फिक्सिंग को लेकर मीडिया और पुलिस 5 दिन से इतने परेशान है जैसे 2G कोयला रास्त्रमंडल खेल रेल सब घोटाला इसी से खुलेंगे
206	Y	0	खुफिया तंत्र की नाकामी पर डीजीपी ने डाला पर्दा
211	Y	0	पकिस्तान में हिन्दुओ पर निर्मम अत्याचार हो रहे है उनकी चीख पुकार उनके आसू आहे क्रंदन सुनने वाला कोई नहीं है
212	Y	0	अँधेरी रातों में सुनसान TL पर एक अश्लील लौंडा निकलता है उसे लोग Hawashmi कहते है
215	Y	1	दिग्विजय सिंह जैसे ही गांधी की प्रतिमा पर फूल चढ़ाने झुके लाठी से धकेलते हुए आवाज आई दूर हटो बेटा वरना अहिंसा की कस्म टूट जाएगी rerun
218	Y	1	चुगली करना हमारा राष्ट्रीय छंद है.
222	Y	0	महिलाओं की शक की उच्चता:पति: मैं तुम्हारे साथ 1000 साल रहूँगा और प्यार करूँगा। पत्नी: उसके बाद कहाँ मुंह मारने का इरादा है?
223	Y	0	उसने कहा मेरे प्यार में फ़ना हो जाओ मैंने कहा मेरे पास टाइम नहीं है दफा हो जाओ। ;) ;) - feeling crazy
226	Y	0	बेचारा कजरी पहले ही पता था मोदी कान बहुत खीचते है । इसीलिए मैं मफ़लर मे अपने कान लपेटता हूँ।
230	Y	0	इमानवालों(मुस्लमान)को चाहिए कि वे इंकार करने वालों को अपना मित्र न बनायें (कुरान ३:२८)मजहब ही है सिखाता आपस में बैर रखना इस्लाम से सावधान
233	Y	0	पौने तीन लाख लोग बिछड़ चुके हैं इस बार के कुंभ मेले में
235	Y	0	जिस्म क्या है रूह तक सब कुछ ख़ुलासा देखिये आप भी इस भीड़ में घुस कर तमाशा देखिये
245	Y	1	ससुर ने किया बलात्कार ISLAMIC LAW NOW WIFE IS MOTHER
247	Y	1	हम तो इस देश की अर्थ व्यवस्था का अर्थ समझना चाह रहे थे मनमोहन. तुमने तो अर्थ व्यस्था की अर्थी ही निकाल दी.
263	Y	1	काश्मीर में जनगणना का कार्य इसी बहाने पूरा हो जाएगा #KashmirFloods
264	Y	0	मौत शायद इसी को कहते हैं दिल अब ख्वाहिशें नहीं करता
265	Y	0	इस धोनी की वजह से ही आज युवी टीम से बाहर है
267	Y	0	कोई पूछता ही नहीं हैं की क्या क्या जला हैं इस राख में, लोग बस इतना जानना चाहते हैं की ये आग किसने लगायी हैं.
332	Y	0	Farmers Strike : पुलिस की कड़ी बंदोबस्त के बिच किसान क्रांति यात्रा दिल्ली पहुंची
341	Y	0	NTPC रायबरेली को चलाने की इतनी जल्दी क्या थी क्यों हुआ सुरक्षा मानकों से खिलवाड़। कौन लेगा इतने मौतों की जिम्मेदारी। Sad
349	Y	1	SCAM की हर नेता की अपनी अपनी परिभाषा है
358	Y	1	लालू यादव तेजस्वी यादव बेटा नम्बरी। बाप दस नम्बरी।
360	Y	0	Anti Romeo Squad युक्त उत्तर प्रदेश में भी क्लास रूम के अंदर छेड़खानी।
362	Y	1	मुंबई में आज पेट्रोल की कीमत 86 रुपए 72 पैसे है। परंतु प्रधानमंत्री जी की उम्र केवल 67 वर्ष है!
371	Y	1	#AreYouSeriousRahul का सवाल पूछने वालों की SERIOUSNESS पर ही सवाल है।
382	Y	0	Pulwama Attack: गुलाम नबी आजाद ने सिद्धू को दिखाया आईना बोले PAK से बातचीत का वक्त नहीं
388	Y	0	#KarnatakaElection2018 कर्नाटक का नाटक यहीं खत्म। इतिहास के पन्नों में दर्ज होगा ये दिन। येदुरप्पा एक बार फिर बने tragedy king
389	Y	0	GROUND REPORT: एक चायवाले से सुने कैसा था बुलंदशहर का कल का मंज़र | Crime Tak @nishantchat #BulandshaharViolence #Buland।
396	Y	1	तर्कों की कंगाली ने कांग्रेस को कुतार्कों का मवाली बना दिया है
402	Y	1	हे राम। स्कूल के मासूम बच्चों के सामने इतना ज़हरीला भाषण :(
405	Y	0	दंगल को हर बार लगातार No 1 बनाए रखने के लिए आप सभी का आभार! ये प्यार और साथ हमेशा बना रहे! 🙏
406	Y	0	SHOCKING BJP प्रवक्ता ने ग़द्दार कहा तो कांग्रेस प्रवक्ता ने पानी से भरा ग्लास फेंक कर मारा। शुक्र है किसी को चोट नहीं आ।
409	Y	1	Odd Day मैं BJP से बेहतर समझता हूँ हिंदू धर्म राहुल। Even Day मोदी शिवलिंग पर बैठे बिच्छू जैसे थरूर विवादित ज।
411	Y	0	दंगल को No 1 बनाने के लिए आप सभी का आभार। अपना प्यार और सहयोग ऐसे ही बनाए रखिए!
418	Y	1	कैराना में जिन्ना नहीं गन्ना ही असली मुद्दा BJP को बदलनी पड़ी अपनी रणनीति।
436	Y	0	अभी शम्स (सूरज) नहीं डूबा ज़रा सी शाम होने दो मैं खुद लौट जाउंगा मुझे ।
442	Y	0	सेंसर बोर्ड पर ही कैंची चलाने की तैयारी में
446	Y	1	Best forward of day : ठोकर लगने पर छोटो को माँ याद आती है और बडो को मातोश्री ! #puns #अमित_शाह #AmitShah #Sh।
449	Y	1	राहुल गांधी पहली बार चला गले मिलने। गले मिलने और गले पडने में क्या फर्क है
450	Y	0	मोदी सरकार के समर्थन के पीछे फीयर फैक्टर काम कर रहा है
451	Y	0	Exclusive Interview सिद्धू के समर्थन में अबू आजमी पाकिस्तान में इमरान खान के शपथ ग्रहण समरोह में जाने के बाद चौतरफा घिरे।
461	Y	0	विचारों पर आमना सामना करिये कलाकार पर व्यक्तिगत टिप्पणी उचित नहीं।
466	Y	0	Exclusive break समाजवादी पार्टी से जया बच्चन को फिर राज्यसभा का टिकट नरेश अग्रवाल को टिकट नहीं
467	Y	0	घर पर काम करने वाले युवक की शादी में पहुंचे राहुल गांधी
469	Y	1	सोनिया गांधी ने राहुल को अध्यक्ष बनने की बधाई दी एवं स्वागत किया। मां बेटे का स्वागत ऐसे कर रही है जैसे राहुल ने किला जीत लिया
470	Y	1	गले में रुद्राक्ष की माला पहने दिखे शिवभक्त राहुल Aajtak News App।
473	Y	0	गुजरात में बीजेपी को हराने के लिए कांग्रेस का शांति प्लान
484	Y	0	BSF ने सरहद पर कोहरे के दौरान बढ़ाई चौकसी घुसपैठ की आशंका
485	Y	0	हनीप्रीत का खेल खत्म जसमीत सिंह की ताजपोशी की तैयारियां शुरू
490	Y	1	Courtesy my friend सोच रहा हूँ। आज रात में दो बोरे अखबार जला दू। पडोसियो पर रेड पडेगा। 😝
491	Y	1	7 दिन मे कितना बदल गया मेरा हिन्दुस्तान! न बीफ पर कोई बयान। न अरहर की चिंता। न पुरुस्कार लौटाना। देश सहिष्णु हुआ है या चुनाव ख़त्म?
496	Y	1	मौसम की तरह नेताओं के लिए इसका मतलब भी बदलता है
533	Y	0	#RakshaBandhan पर संदेश भाई और बहन दोनों की रक्षा के लिए । क्योंकि हर जिंदगी अनमोल है
539	Y	0	Good Read about #yogiadityanath नेपाल को पहला राजा देने वाले मठ ने यूपी को दिया नया सीएम
542	Y	1	होली से ऐन पहले नतीजे आना ठीक नहीं। सरकार हारे हुए नेताओं को अंग्रेजी दारु की चार बोतलें फ्री भिजवाए
551	Y	0	गोरक्षकों के नाम पर वसूली जा रही रंगदारी कई चेहरे बेनकाब। शिव सेना कार्यकर्ता शामिल
555	Y	1	#ramrahimverdict बाबा राम रहीम messenger of love यानि कि अहिंसा का पाठ पढ़ाते थे। क्या यही सीख दी उन्होंने अपने भक्तों को?
571	Y	0	Aam Aadmi Party Delhi ने मतदाता सूची से जिंदा लोगों के नाम कटने का आरोप लगाया है। इस मुद्दे पर हमारे संवाददाता
573	Y	0	दिल्ली की राजनीति में कोहराम मचना तय। बीजेपी सांसद मनोज तिवारी ने तोड़ा सीलिंग का ताला।
581	Y	0	छोटे भाई ने मिलिंद एकबोटे को पूरी तरह से निर्दोष बताया
584	Y	1	मेरा प्यार राफेल जैसा हैं तुम्हें आखिर तक उसकी कीमत नहीं पता चलेगी। Happy Valentine s Day all! 👻💕
602	Y	0	MP: पीएम मोदी भले ही VIP कल्चर को खत्म करने की पैरवी करते हों लेकिन लगता नही कि मध्यप्रदेश बीजेपी उनकी बातों को गम्भीरता से ले।
605	Y	0	राफेल करार नियमों के तहत किया गया सीतारमण ने पूछा कि कांग्रेस बताए कि
610	Y	1	47 साल पुरानी खबर से कांग्रेस कार्यकर्ताओं में जोश की लहर ;) #RahulGandhi #RahulCoronation
616	Y	0	Exclusive No Confidence Motion में शिवसेना रहेगी Absent शिवसेना ने मोदी सरकार को समर्थन नहीं करने का फैसला किया। शिवसेना।
794	N	0	हिंदी के प्रयोग में व्याकरण और व्यवहार की गलतियां आम होती जा रही हैं
822	N	0	हालांकि लंबे वक़्त तक फ़िल्म बांधे रखने में कामयाब नहीं होती
833	N	0	मशीन अब्‍बास मस्‍तान की सबसे कमजोर फिल्‍म के रूप में याद की जाएगी जिसमें एक लोकेशन के अलावा सब कुछ फिसड्डी रहा
845	N	0	अनेक प्रतिभाओं के योगदान के बावजूद गीत-संगीत मामूली है
862	N	0	रजनीश दुग्गल कहीं-कहीं नाटकीय लगे हैं
863	N	0	जरीन खान डांस में निराश करती हैं
870	N	0	एनीमेशन उसी प्रकार आला दर्जे का नहीं है
871	N	0	फिल्म के साथ मेघालय का मुद्दा ढंग से मेल नहीं करता
876	N	0	साथ ही किरदारों की भाषा पर खास ध्यान नहीं दिया गया है
890	N	0	गुलजार अपनी खासियत के बावजूद प्रभावित नहीं कर पाते
902	N	0	इसका असर नवाज के परफारमेंस पर भी पड़ा है
906	N	0	टाइगर श्रॉफ समेत सभी अभिनेता प्रभावहीन हैं
920	N	0	बिहारी लहजे में बोली गई हिंदी मजाक बनकर रह गई है
946	N	0	पर इमोशनल सीन में उनकी कमी साफ नजर आई
960	N	0	उनके लुक की निरंतरता पर भी ध्यान नहीं दिया गया है
989	N	0	सागर में एक लहर उठी आपके नाम की श्री श्री के शुभ जन्म दिन पर हार्दिक सुभकामनाए
992	N	0	मुझको पढ़ पाना हर किसी के लिए बहोत आसान हे क्युंकी.मै वो किताब हूँ जिसमे शब्दों की जगह जज्बात लिखे है
994	N	0	भारत के पूर्व राष्ट्रपति एपीजे अब्दुल कलाम को चीन की पेकिंग यूनिवर्सिटी में पढ़ाने का न्यौता मिला है
996	N	0	मोदी ने की पाक के बाढ़ पीड़ितों को मदद की पेशकश - दैनिक जागरण
1002	N	0	मुझे दुश्मन से भी खुद्दारी की उम्मीद रहती है किसी का भी हो सर कदमों में सर अच्छा नहीं लगता
1004	N	0	US ओपन् टेनिस् क्रीडायां स्वर्णपदकं प्राप्तवती| वयं सर्वेऽपि गर्विताः स्मः|
1007	N	0	स्वीडन में 99 प्रतिशत कचरा भी है काम का: लंदन स्वीडन ने कचरे का दोबारा इस्तेमाल कर दुनिया के आगे मिसाल पेश की
1010	N	0	शादी के वक़्त फ़ोटोग्राफ़र को पता होता है कि भविष्य में क्या होने वाला है तभी तो वो दूल्हे को आख़री बार खुल के हँसने का मौक़ा देता है
1012	N	1	केजरी ने कहा की गुजरात में कुछ भी विकास नहीं हुआ है जबकि वो गुजरात गए पैसेंजर ट्रैन से और लौटे एयरोप्लेन से 1 ही दिन में इतना विकास नमो नमो
1020	N	0	जम्मू-कश्मीर को 2100 करोड़ का पैकेज पाक अधिकृत जम्मू-कश्मीर को भी पीएम मोदी ने मदद
1021	N	0	इस मंदिर पर पाक ने गिराए थे 3000 बम मां के आशीर्वाद से एक भी न फटा
1025	N	0	केदारनाथ त्रासदी में राहुल यूरोप में. जम्मू त्रासदी में सोनिया अमेरिका में.लेकिन नरेंद्र मोदी केदार में भी और जम्मू कश्मीर में भी
1029	N	0	एक ऐसी पारदर्शी योजना बनानी चाहिए जिसमें कोई भी इच्छुक व्यक्ति आसानी से छोटी से छोटी सहायता भारत को मजबूत करने के लिये दे सके
1047	N	0	बेपरवाह हो गये हम अजीब ये है कि अब हम ज्यादा खुश हैं और लोग परेशान
1050	N	0	बेटा कितना भी नालायाक बतमीज़ क्यो न हो जाये पर जब भी मुसीबत में रहता तो बाप ही काम आता है .आज हमारे सैनीको ने ये प्रूव भी कर दिया है
1089	Y	0	#News सीमावर्ती सड़कों के लिए बनी नई कंपनी
1091	N	1	मोदी ने शिक्षक दिवस के दिन एक ही समय में पुरे देश के बच्चो से बात की जबकि मनमोहन सिंह एक ही बच्चे से 10 साल बात करते रहे
1098	N	0	मानहानि केस में गडकरी से समझौते की राह पर केजरीवाल
1100	Y	0	पत्नी -थैक गोड आप सही सलामत घर आ गए. पति -क्यों क्या हुआ? पत्नी - मोहल्ले में लोग बातें कर रहे थे कि कोई दारु पीकर सड़क पर पड़ा है 😐
1101	Y	0	#ओणम की ढेर सारी शुभकामनाएं इस पवित्र पर्व पर मैं आपके और आपके परिवार की खुशहाली और समृद्धि की प्रार्थना करता हूं
1103	Y	0	#BreakingNews PM रिलीफ फंड से कश्मीर के विकलांगों को आर्थि‍क मदद
1119	N	0	अब समय आ गया है सत्ता बदलने का जब आम आदमी भी अपनी बात रख सकेगा अरविन्द केजरीवाल को सलाम
1122	N	0	मुझे हराकर कोई मेरी जान भी ले जाए मंजूर हैं लेकिन धोखा देने वालो को हम दुबारा मौका नहीं देते
1131	N	0	अक्षय कुमार का अल्हड़ और बेफिक्र अंदाज मुग्ध करता है
1141	N	0	नएपन के बावजूद सभी कलाकारों के परस्पर तालमेल से दृश्य रोचक हुए हैं
1144	N	0	हिंदी फिल्मों में मनोरंजन की आक्रामक धूप से तिलमिलाए दर्शकों के लिए यह ठंडी छांव और बार की तरह है
1148	Y	0	टिफिन खोलते और व्यंजनों की सूंघते-छूते समय इरफान के चेहरे पर संचरित भाव अंतस की खुशी जाहिर करता है
1170	N	0	तीनों किरदारों को अच्छी तरह गढ़ा गया है
1187	N	0	मिल्खा के चरित्र में हमारी रुचि बनी रहती है
1198	N	0	इसमें उन्हें इमरान हाशमी और विद्या बालन से मदद मिलती है
1206	N	0	अभिनय की अगर बात की जाए तो अक्षय खन्ना बाजी मार ले जाते हैं और उनकी उपस्थिति फ़िल्म को एक अलग लेवल पर ले जाती है
1209	N	0	एक स्ट्रांग स्टोरीलाइन भी डाली है जो इसे अधिक रोचक बनाता है
1227	N	0	श्रेयस एक अभिनेता के तौर पर फ़िल्म को बांधे रखते हैं
1232	N	0	इसी गंभीर मुद्दे पर स्वस्थ्य कॉमेडी ट्रीटमेंट के साथ प्रसन्ना ने एक रोचक फ़िल्म बनाई है
1249	N	1	अब क्या कहूं ये भौंढा ये संगीत अच्छा है
1262	N	0	नवाज ने फौजी की भूमिका में एक नया आयाम छुआ है
1267	N	0	इस फिल्म को देखना बिल्कुल भी समय की बर्बादी नहीं है चूंकि यह फिल्म आपको सोचने पर मजबूर करती है
1271	N	0	सिनेमेटोग्राफर रवि बर्मन फ़िल्म की ख़ूबसूरती को कई कदम आगे ले जाते है
1291	N	0	खास कर जू जू और माटिन बेहद नैचुरल और दिलचस्‍प हैं
1299	N	0	शुटु के किरदार में विक्रांत मैसी प्रभावित करते हैं
1312	N	0	बाहुबली 2 भव्‍यता और विशालता में पहली से ज्‍यादा बड़ी और चमकदार हो गई हैं
1315	N	0	कहानी की दृश्‍यात्‍मक अभिव्‍यंजना श्रेष्‍ठ और अतुलनीय है
1335	N	0	हिंदी फिल्‍मों की लीक से हट कर बनी इस फिल्‍म में राजकुमार राव जैसे उम्‍दा अभिनेता हैं जो विक्रमादित्‍य मोटवाणी की कल्‍पना की उड़ान को पंख देते हैं
1355	N	0	द गाजी अटैक में लेखक निर्देशक ने सराहनीय सावधानी बरती है
1359	N	0	जब कहानी में नयापन ना हो तो स्क्रीनप्ले में उस तरह का नयापन लाना वाकई मुश्किल काम है
1367	N	0	सहयोगी कलाकारों में रोनित रॉय और रोहित रॉय सगे भाइयों की कास्टिंग जबरदस्त है
1381	N	0	इस रहस्य कथा को दिखाने और सुनाने का तरीका नया चुनने का प्रयास हुआ हैं
1404	N	0	अनुष्का शर्मा किरदार और कलाकार दोनों ही पहलुओं से बाजी मार ले जाती हैं
1409	N	0	उन्होंने एक्शन के साथ अपनी अदाकारी के जलवे भी दिखाए हैं
1415	N	0	गुलजार के शब्दों के चयन और संवादों में हमेशा की तरह लिरिकल खूबसूरती है
1436	N	0	कुछ कमियों के बावजूद ‘हैप्पी भाग जाएगी’ मजेदार फिल्म है
1453	N	0	अबु धाबी के रेगिस्तानी इलाकों की नयनाभिराम खूबसूरती को सिनेमैटोग्राफर अयानन्का बोस ने बखूबी कैमरे में कैद किया है
