,account,Text
26,acs_rkpandey,"Once upon a time #BankingJobs was termed as best in all. Today #Bankers are living in state of uncertainty. #PSBs are being terminated gradually and there won't be any #PSB. That's the story of Bank &amp; #Bankers.
#BankersMannKiBaat
#MannKiBaat https://t.co/wjfOKuyrQG"
27,acs_rkpandey,@drvkpande @umangmisra इनका जाजमऊ-सीसामऊ एक करने के लिए
28,acs_rkpandey,@chandanfolk शायद 😢
29,acs_rkpandey,@DhirendraGBN @maliniawasthi @UPGovt @AwasthiAwanishK @YamunaAuthority @AshishSinghLIVE @ShishirGoUP @manojmuntashir @ManojTiwariMP @actormanojjoshi @IamNaveenKapoor @PANKAJPARASHAR_ @brajeshlive @anjanaomkashyap @pankajjha_ @shafaquealam @harsha19chand @AmarUjalaNews @upbhaskar @KanganaTeam आरंभ हो प्रचण्ड 👍
30,acs_rkpandey,"@MukeshPathakji साधारण कैसे है? आप तो मुCASH हैं, अNIL थोड़े ना हैं।"
31,acs_rkpandey,मतलब महाराष्ट्र सरकार ये मान रही है कि दुकानों पर ही सिगरेट को 'माल' बनाकर खुदरा बेचा जा रहा था? https://t.co/RFIkw003KE
32,acs_rkpandey,@umangmisra @drvkpande बाबा जी बुलावा ना भेज दें। 🙄
33,acs_rkpandey,"RT @rajeevhdr: @narendramodi 
@narendramodi 
@mann_ki_baat आपने बहुत सुना ली,
 अब बैंकर के मन की बात भी सुनिए,
हमें चाहिये #5DaysBanking
@B…"
34,acs_rkpandey,"@chandanfolk बेटी बिदाई का भावपूर्ण गीत। शानदार गायकी।
#DaughtersDay विशेष"
35,acs_rkpandey,@Garima1907 जी?
36,acs_rkpandey,"RT @Garima1907: मेरे लिए बेटी होना एक युद्ध था।
कदम कदम पर लड़ना था।
कभी अपने से,कभी अपनों से
कभी अपने मन से तो कभी अपने तन से।
'लड़की हो ल…"
37,acs_rkpandey,"RT @Mandli_in: मैं दौड़ते हुए पिता जी की बुलेट के पास गयी। तभी बुआ ने मुझे पीछे से टोका, “अब बड़ी हो रही हो। हर जगह लिल्ली घोड़ी की तरह दौ…"
38,acs_rkpandey,@prem_partab @rranjan501 😂😂😂
39,acs_rkpandey,@rranjan501 🙏
40,acs_rkpandey,"RT @TarkariB: #5DaysBanking के फायदे हम कई दफा बता चुके, पर @FinMinIndia @DFS_India को इससे कोई फर्क़ नहीं पड़ रहा। पर, आपका इस दिशा में लि…"
41,acs_rkpandey,"RT @baujidesi: एक तो हमारी यूनियन भी महान है।

हमें ये कहकर अंधेरे में रखा की @DFS_India विचार कर रही है #5DaysBanking पर।

लेकिन बाद में प…"
42,acs_rkpandey,@Garima1907 करिए। कृपा आएगी।
43,acs_rkpandey,RT @PRONCIBUP: 1. मरीज का नाम अभिषेक सिंह हॉस्पिटल का नाम राजीव गांधी कैंसर इंस्टीट्यूट एंड रिसर्च सेंटर रोहिणी नई दिल्ली Bimari blood canc…
44,acs_rkpandey,"RT @sachinvats142: मित्रों !! आप मेरी आवाज़, मेरी छवि, मेरे  वादों से इतना क्यूँ डरने लगे ?? #5DaysBanking चाहिए तो ज़ोर लगाओ दबा के retwee…"
45,acs_rkpandey,@AdvBhupendra88 🙏
46,acs_rkpandey,@juhi_sing 🙏
47,acs_rkpandey,साहेब! निकलिए और #5DaysBanking पर निर्णय लीजिए। https://t.co/739dlhCq23
48,acs_rkpandey,हाँ हफ्ते में दो दिन। अब सिर्फ #5DaysBanking https://t.co/qVFNImgPqU
49,acs_rkpandey,@rranjan501 Really? 😳
50,acs_rkpandey,"फौजी बाबा ने तिनका-तिनका जोड़कर पुलिंदा बनाया। करिश्माई छवि जो थी बाबा की। शासन के विरुद्ध आक्रोश को दिशा देेने का करिश्मा।
आम को खास बनाने का करिश्मा।
सरकार को नकेल से थामने का करिश्मा। 
पर एक तिनके के महत्वाकांक्षा ने पुलिंदे को झाड़ू बना दिया। 
अब कौन करेगा क्रांति?
#Kahani250 https://t.co/eC7Fa3Bkja"
51,acs_rkpandey,@jhasushant न्यूज १८ के सब एंकर-एंकराईन मने-मने खुश होंगे। ई सोच के की हमहीं हैं तीसमार!!! 😂😂
52,acs_rkpandey,"बड़-बड़ बीर दहानी
अब बबुआ चले बथानी https://t.co/KIexNsoMUe"
53,acs_rkpandey,हँ हो! काहे ना कहबs! https://t.co/KCo0ePQkxH
54,acs_rkpandey,@luckydubey123 @alashshukla @Rajput_Ramesh हे ईश्वर 🙏
55,acs_rkpandey,RT @AdvBhupendra88: पॉजिटिविटी राजनीति पर दिखनी शेष है। हो सकता है कि थोड़ा समय लगे और भिया ही विपक्ष की राजनीति पॉजिटिविटी के वाहक बनें।…
56,acs_rkpandey,@YRDeshmukh रिस्क तो है! थाने में पहले बतिया लीजिए।😜😜
57,acs_rkpandey,"रास्ते भर गोली, खोपड़ी और स्नो लेपर्ड का भय ठंडे, सुनसान, और घाटीनुमा पथ को और भयावह बना रहा था।"
58,acs_rkpandey,"कोई इन्क्वायरी नहीं, १५अगस्त को राष्ट्रपति के हाथों पदक अलग से।"" थोड़ी साँस लेकर फिर बोला, ""साहब! किसी को भी विदेशी एजेंट साबित करने में कितना समय लगता है?""
मुझे यथाशीघ्र निकलने में ही भलाई दिखा। अपने अतिरिक्त बोझ के साथ सात किलोमीटर लंबे सड़क पर लंबे कदमों से निकल पड़ा।"
59,acs_rkpandey,"जाते-जाते जवान ने जान ना मारने का एहसान भी जताया। बोला, ""साहब! कुबेर ना निकला करो। अतिसंवेदनशील एरिया है। यहाँ बाहर वाले तो आपके दुश्मन हैं ही, फौज भी आपकी दुश्मन साबित हो सकती है। हमारी उँगली जितने समय में टाइगर (ट्रिगर) दबाती है उससे कम समय में गोली खोपड़ी के पार हो जाती है।"
60,acs_rkpandey,हमारे अनुरोध से अधिक 'जामवन्त द्वारा हनुमान को जगाने के प्रयास' ने भी असर नहीं दिखाया। उसने जो कहा उसका तात्पर्य लगभग ये था कि सेतुसमुद्रम का प्रयास ना करें और सात किलोमीटर लंबे वैकल्पिक मार्ग से यथाशीघ्र निकल लें। देर होने के सुरत में 'स्नो लेपर्ड' से भी सामना हो सकता है।
61,acs_rkpandey,"जवान के उदारता को देखते हुए अनुमानित अवरोध छँटता हुआ सा लगा। मैने अनुरोध किया कि मैं भी सैनिक हूँ और अमुक जगह जाना है। कृपया निकलने दीजिए। ज्ञातव्य हो कि दिन में उधर से हम निकलते रहते थे। जवान बोला, ""साहब! इधर से निकलने का परमिशन सिर्फ 'डॉन्टूडस' (Dawn to Dusk) है।"""
62,acs_rkpandey,"कई गरम कपड़ों के उपर से सर्दियों वाली डांगरी (ओवरऑल), उसके उपर कोट फरक्का, पैरों में ताजे बर्फ पर चलने के अनुकुल गमबूट पहन कर साठ किलो का इन्सान पचहत्तर किलो का हो गया था। दो किलोमीटर के पैदल मार्च के बाद अभी अभी ""थम्म्म्"" से सामना हुआ है।"
63,acs_rkpandey,"हवाई पट्टी के दूसरी तरफ फेंसिंग के बाद टेक्नीकल एरिया था, उसके बाद डोमेस्टिक एरिया। कुल मिलाकर मेरा अनुमान था कि ३ किलोमीटर के कम ऑक्सीजन और बेहद ठंढ़े वातावरण में चलने के बाद अपने मंजिल पर पहुँच ही जाऊँगा।"
64,acs_rkpandey,"थोड़ा मुस्कराकर बोला, ""दोस्त ऐसे तो नहीं आते?""

समयचक्र में थोड़ा पीछे चलते हैं... 
१ दिसम्बर १९९४
दिन भर निगेटिव तापमान में वाटरकुल्ड मशीन के साथ जूझने के बाद शाम में पैदल ही अपने अस्थायी निवास के ओर चल पड़ा। हवाई पट्टी के एक तरफ से निकल कर दूसरी तरफ जाना था।"
65,acs_rkpandey,"उँगली के आधे सेंटीमीटर के हरकत आदमी के जीवन लीला को समाप्त सकती है। डर और घबराहट में मुँह से समर्पण मुद्रा में बस इतना ही निकला, ""दोस्त!""
जवान निर्दयी नहीं था। आगे के पहचान पैरेड को पूरा करवाने के लिए स्वतंत्र था। लेकिन हमारे हाव-भाव, पहनावे तथा एक शब्दीय जवाब से संतुष्ट हो गया।"
66,acs_rkpandey,"#लद्दाख_डायरी

""थम्म्म्! कौन आता है?""
दिसम्बर का महीना।
शाम ७:३० बजे।
लद्दाख की सर्दी में डिफेंस सर्विस कोर के जवान की कड़कती आवाज़ और तना हुआ राइफ़ल, शून्य से सोलह डिग्री नीचे के तापमान में शिथिल शरीर में सिहरन पैदा करने के लिए पर्याप्त था।"
67,acs_rkpandey,@Garima1907 एकदम सही 👍
68,acs_rkpandey,"RT @Garima1907: हममें से सब अभिमन्यु हैं।
सबके बीच रहते हुए भी अपने पुरुषार्थ से लड़ना है और जीतना है।
हारना नहीं है.......बस 🙏"
69,acs_rkpandey,@chandeltweets गद्दारों की पूरी टोली है
70,acs_rkpandey,@capt_mishra अर्नब कहीं इसे प्रेरणा ना समझ ले। 😜
71,acs_rkpandey,@ashtiwari06 @drvkpande बहुत खूब 👌
72,acs_rkpandey,"RT @ashtiwari06: कल गाँव के कटारी भैया मकाई के खेत मे बने मचान पर रात गुजारने जा रहे थे ,जाते वक्त मेरी खटिया के पास रुककर मोबाइल की रिंगटो…"
73,acs_rkpandey,"अमेरिका का प्रभुत्व 
जापान की तकनीकि
इज़राइल की सुरक्षा 
लंदन की सड़कें

और हमारी अपनी
जनसंख्या 
आरक्षण 
जातिवाद 
क्षेत्रवाद
अशिक्षित नेतृत्व 

हम दुनिया में किसी से कम हैं क्या!"
74,acs_rkpandey,"""तू बहुत बहादुर थी…सच।” 
सेठ जैसे लोगों के लिए सही विशेषण नहीं मिल पाता है। थूको तो थूक गंदी हो जाए। @Garima1907 you are simply great! 

 https://t.co/Zr4CgHARwT"
75,acs_rkpandey,"@SunnyUpadhyay19 @sachinvats142 @UFBUIndia @DFS_India @nsitharaman @aiboc_in @SunilKu92687431 उपाध्याय जी, #MCA और #GST को बैंक नहीं चलाती बल्कि बड़ी-बड़ी प्राइवेट कम्पनियां चलातीं हैं। फिर भी समय से फाइलिंग नहीं हो पाती हैं। 
प्रोफेशनल को प्रोफेशनल भाषा ही बोलना चाहिए। अनर्गल प्रलाप करना है तो CMA लिखना बंद कर दीजिए। बैंक के काम का आंकलन आप से तो नहीं हो पाएगा।"
76,acs_rkpandey,सरकार में हड़बड़ी इतनी है कि पहले योजनाएं आती हैं फिर हफ्ते या महीने बाद संबंधित दिशा-निर्देश। आप अगर योजना लागू करने वाले सरकारी कर्मचारी हैं तो बीच के समय में आपका चटनी बनता है।
77,acs_rkpandey,@rranjan501 @Garima1907 @BhumikaShah7 @Shrimaan गरिमा पकियावा मास्टराइन लागत बारी। बस एगो सटका के कमी लागsता। 😂
78,acs_rkpandey,"@rranjan501 @Shrimaan बेहतरीन समीक्षा। साकेत जी @saket71 वैसे ही पहुँचे हुए लेखक हैं। अब तीसरे लेखक से आलोचना की अपेक्षा है। 😊
आलोचना पढ़ लें तो मुन्ना को घर ले आएँ।🤗"
79,acs_rkpandey,"RT @NatkhatO: जब कविता चित्र बनती है
बेमन से खींची गई काली स्याही की लाइनों में परछाई नही दिखती 
नही दिखती सकुचाहट
नही दिखती बांधने वाली जं…"
80,acs_rkpandey,"@rranjan501 बाप, बाप ना रहा..."
81,acs_rkpandey,RT @AIBOC_: 5 दिवसीय बैंकिंग न सिर्फ अधिकारी कर्मचारियों पर बढ़ते काम के दबाव को कम करेगी अपितु उनको कार्य जीवन संतुलन बनाने में भी सहायक…
82,acs_rkpandey,@juhi_sing 🙏
83,acs_rkpandey,आज का नं. 1 लॉजिक फॉर #5daysBanking https://t.co/6UAYJUeKSP
84,acs_rkpandey,@_cpsharma पाँच हजार फॉलोवर लेकर आप अपनी आवाज़ @PMOIndia और @NITIAayog तक नहीं पहुँचा पा रहे हैं तो इस छब्बीसी को आप तो इग्नोर कर ही सकते हैं।
85,acs_rkpandey,@rranjan501 कैसे झेल रहे हैं 😳
86,acs_rkpandey,"@chandeltweets @Shrimaan हैंडसम ऐज़ उजुअल 

PS: बड़ा कठिन है देवनागरी में टाईप करना। हैंडसम दो बार हैंडपंप बन गया है। 😜"
87,acs_rkpandey,RT @Saurabh_Munger: #5daysbanking is because Bankers are #FrontLineHeroes who are doing yeoman services in this global pandemics situations…
88,acs_rkpandey,@chandeltweets @Shrimaan तथास्तु
89,acs_rkpandey,RT @luckydubey123: @acs_rkpandey @bupgbx #5DaysBanking
90,acs_rkpandey,"RT @iAwdheshJha: हे इकॉनमी संहारिणी सीतारमण जी, 

साल भर में 26 दिन बैंक बंद रहेगा, तो बैंकर्स अपने परिवार के साथ मॉल-शॉपिंग जाएंगे, खर्चा…"
91,acs_rkpandey,RT @Durgesh2104: Finance से जुड़े सभी विभाग और RBI स्वयं 5 दिवसीय कार्य प्रणाली का प्रयोग करते हैंपर राजनीतिक दलों ने बैंकों को अपनी स्वा…
92,acs_rkpandey,"@luckydubey123 @bupgbx लॉजिक
#5daysBanking"
93,acs_rkpandey,"RT @luckydubey123: अगर शनिवार को बैंक बंद करने से कोई घाटा है तो दो शनिवार बंद क्यूँ किए?

अगर कोई नुकसान नहीं है तो बाकी शनिवार क्यूँ बंद…"
94,acs_rkpandey,"@baujidesi #MNC को प्रोडक्टिविटि चाहिए, #PSB को मोर्टलिटि"
95,acs_rkpandey,@rranjan501 मुश्किले बा
96,acs_rkpandey,"RT @rranjan501: सुशान्त सिंह मामले की गुत्थी कालांतर में सुलझ जाएगी, सब्र रखिये। मुम्बईया ड्रग सिंडिकेट को पकड़ कर सलाखों के पीछे डालना है।…"
97,acs_rkpandey,"RT @ngtweets1969: SPB on his inspiration, Rafi Sahab! https://t.co/41AMb2YFNn"
98,acs_rkpandey,"RT @sumanboi: 5 days banking is the need of the hour... It will bring efficiency and improve work life balances of the bankers... Even RBI,…"
99,acs_rkpandey,"RT @akiworld: @acs_rkpandey @FinMinIndia @DFS_India @PMOIndia #5DaysBanking
#stopprivatizationofbanks"
100,acs_rkpandey,"RT @akiworld: @acs_rkpandey @FinMinIndia @DFS_India @PMOIndia #5DaysBanking
#stopprivatizationofbanks"
101,acs_rkpandey,"#5daysBanking is need of hour
#5daysBanking https://t.co/8Kj6NBFGXX"
102,acs_rkpandey,RT @kumarbrajesh12: #5DaysBanking is the need of the hour.
103,acs_rkpandey,"RT @alashshukla: While the world is talking about 4 days working pros and cons.

We bankers are still fighting for #5DaysBanking.

It wont…"
104,acs_rkpandey,"RT @sachinvats142: Minimum wages not implemented - Injustice with bankers;

No old pension offerred to young bankers - Another  injustice;…"
105,acs_rkpandey,"RT @Ektaunity9891: #5DaysBanking
#stopprivatizationofbanks"
106,acs_rkpandey,RT @SurajMNaudiyal: #5DaysBanking
107,acs_rkpandey,"RT @baujidesi: जब आरबीआई पाँच दिन काम करती है तो बैंकर्स को #5DaysBanking देने में क्या परेशानी है? 

@DFS_India"
108,acs_rkpandey,"Please tag 
#5daysBanking 
#5daysBanking https://t.co/DqYL9xvWiV"
109,acs_rkpandey,"Please tag 
#5daysBanking 
#5daysBanking https://t.co/Q81ICFAiJf"
110,acs_rkpandey,"RT @Ektaunity9891: #5DaysBanking
#stopprivatizationofbanks"
111,acs_rkpandey,"RT @Ektaunity9891: #5DaysBanking
#stopprivatizationofbanks"
112,acs_rkpandey,"RT @SaranshSrv: क्या आप जानते है
आपके सारे कंट्रोलर हफ्ते में 5 दिन की नौकरी करते है चाहे वो आरबीआई हो या @DFS_India या किसी भी प्रदेश की स…"
113,acs_rkpandey,"RT @mahaprabandhak: बैंकर बचेंगे तो ही बैंक बचेगा,
बैंक बचेंगे तो अर्थव्यवस्था रहेगी। 

#5DaysBanking"
114,acs_rkpandey,"Please tag 
#5daysBanking 
#5daysBanking https://t.co/kfZxqIm0Ve"
115,acs_rkpandey,"RT @ReverseBank: Dear @FinMinIndia recently there is a news that PSU banks onboard 1 crore customers in to Digital Payment mode.
So now mor…"
116,acs_rkpandey,"...और #5daysBanking कब से?@FinMinIndia @DFS_India
@PMOIndia #5daysBanking https://t.co/r5DJu4DQGS"
117,acs_rkpandey,"वो तो ठीक है लेकिन  #5daysBanking कब से होगा, सर! https://t.co/9rJh05nKtz"
118,acs_rkpandey,RT @_cpsharma: बैंकर्स समाज की मुख्यधारा से कटते जा रहे है... वो ना तो अपने पारिवारिक उत्तरदायित्वों के लिए समय निकाल पाते है और न ही सामा…
119,acs_rkpandey,RT @AnuragChandraa: NS Vageesh ने अपने इस आलेख में बहुत ही लॉजिकली #5DaysBanking  की ज़रूरत को लिखा था। आज जब हम इसे ट्रेंड करवाने की कोशिश…
120,acs_rkpandey,"RT @GeRMsOFHEAven: #5daysBanking

Bankers have served entire India in the time of this pandemic and many bankers have laid down their lives…"
121,acs_rkpandey,"Please tag 
#5daysBanking 
#5daysBanking https://t.co/YQnwMO1IxC"
122,acs_rkpandey,RT @deepak_015: #5DaysBanking Not everyone is lucky to have a home posting in banking some bankers are 1000miles away or some are 25 to 50…
123,acs_rkpandey,"RT @Phogat0: प्रिय PM और FM 

जब नोटबन्दी से कालाधन समाप्त हो सकता है, GST से GDP बढ़ सकती है 

तो #5DaysBanking से बैंकों की स्थिति क्यों…"
124,acs_rkpandey,"RT @SharmaMonika007: 👉 ५ दिवसीय कार्य योजना बैंक में लागू की जानी चाहिए, ताकि डिजिटल क्रांति को और अधिक बढ़ावा मिले। इससे बैंक जाने की नि…"
125,acs_rkpandey,RT @VinayTiwari4U: #5DaysBanking is basic need of bank employees as they also have family. @FinMinIndia @DFS_India
126,acs_rkpandey,"RT @Rajneeshb1: सुविधा नही , ये हमारी ज़रूरत है,
#5DaysBanking का यही मुहूर्त है ...🙏"
127,acs_rkpandey,"RT @2019Seema: #5DaysBanking Even states have announced 5 Days working for their employees. @PMOIndia @nsitharamanoffc 
5-Days Working Week…"
128,acs_rkpandey,"Please tag 
#5daysBanking 
#5daysBanking https://t.co/RwVWUL8hFA"
129,acs_rkpandey,"RT @GauravSproud: अक्सर जो परिवार का मुखिया होता है,पूरा परिवार उनका अनुसरण करते हुए अपनी निजी जिंदगी के फैसलों को अमलीजामा पहनाता है! 
मगर…"
130,acs_rkpandey,RT @SatyamPushpesh: पंचतत्व पंचभूत की तरह #5DaysBanking भी अवश्यंभावी है। @vinn007yadav @jyamubhutia @luckydubey123 @roxsstar @alashshukla…
131,acs_rkpandey,"RT @munshi1857: Will #5DaysBanking affect Banking operations?
Does Reduce in Work hour really affects productivity?
No it doesn't, and worl…"
132,acs_rkpandey,"Please tag 
#5daysBanking 
#5daysBanking https://t.co/L7HMaufeVd"
133,acs_rkpandey,"RT @SaranshSrv: सरकार और प्रशासन लोगों से कह रहा है कि आप घरों में रहें, सुरक्षित रहें और बैंकर्स घर से बाहर निकल रहे हैं। बैंकर्स  ने अपनी…"
134,acs_rkpandey,RT @_cpsharma: लगातार नीरस काम करते रहने से बैंकर्स में हताशा और कुंठा की भावना बढ़ती जा रही है.. इसी के चलते अवसाद उत्पन्न होता है और कई…
135,acs_rkpandey,"RT @sachinvats142: As much I know, More than 90% of Bankers only want #5daysbanking.... !!

Retweet if u agree?

@UFBUIndia @aiboc_in @Aibo…"
136,acs_rkpandey,"RT @Chashhmish: While media is busy in drugs.. We are busy in our trend, our demands #BankersProtectionAct and #5DaysBanking.. 🙏🏼🙏🏼"
137,acs_rkpandey,"RT @su_ra_bhi: #5DaysBanking के फ़ायदे
1. Reduced absenteeism among staff
2. Improved work life balance
3. Reduced stress, better efficienc…"
138,acs_rkpandey,"RT @Officialthakray: #5DaysBanking #5DaysBanking is Needed To...
➡️ Boost PM's Digital India Flagship Program.
➡️ Maintain Work Life Balanc…"
139,acs_rkpandey,"RT @Rajneeshb1: मानसिक स्थिरता बैंकर का अधिकार है,
#5DaysBanking उसकी बुनियाद हैं ।"
140,acs_rkpandey,"RT @Bankers_United: As per Factories Act 1948 (Section 51), any adult person shouldn't work for more than 48 hours a week &amp; not more than 9…"
141,acs_rkpandey,"RT @aakharbhojpuri: एतना रंग बिरंगी दुनिया दू आँखिन में आई कइसे
राग अनेकन गूँजत मन में एक कंठ से गाई कइसे ।

- पाण्डेय कपिल

@BhashaBhojpuri"
142,acs_rkpandey,"RT @AnuragChandraa: 5 दिन तुम्हारे दो दिन परिवार के।

सुनिए रवीश कुमार को बैंकर्स सीरीज के 12 वे एपिसोड में। 

#5DaysBanking

https://t.co/…"
143,acs_rkpandey,"RT @Joker_Banker_: 🟢दुनिया में बैंक की कार्य सीमा - सप्ताह में 4 दिन या 5 दिन

🔴भारत में बैंक की कार्य सीमा - जितना कलेक्टर साहब का मन हो
#…"
144,acs_rkpandey,RT @SaranshSrv: मानते है इस समय सारी यूनियने निकम्मी है सारे नेता निकम्मेपन की बीमारी से ग्रस्त है लेकिन हम लोग भी एक तरह से निकम्मे ही है…
145,acs_rkpandey,"RT @bankwala_PK: According to @DFS_India  more than one crore people became part of #digitalbanking.
Now it's a need of time to make
#5days…"
146,acs_rkpandey,"RT @vikash_bharti_b: Central Govt, State Govt, RBI, SEBI, DFS, CVC all working in #5Days Week.

Why not Banks with #5DaysBanking even when…"
147,acs_rkpandey,"RT @Garima1907: मेरे छोटे-छोटे सपने
आँखों के एक कोने में
पलकों के नीचे-नीचे
जाने कब से छुपकर थे

आज बुलाया,उन्हें जगाया
एक नया आकाश दिखाया…"
148,acs_rkpandey,"Life of #Bankers is full of stress, fatigue alongside financial risk. It requires sufficient time to get rid off  stress and fatigue acquired in week time to avoid any unforeseen financial loss. #5DaysBanking is legit demand, it must be heard.
@FinMinIndia 
@DFS_India 
@PMOIndia"
149,acs_rkpandey,"सरकार! सम्मानजनक वेतन को तरसते #Bankers को सम्मानजनक जीवन तो दे ही सकते हैं। 
#5DaysBanking 
@FinMinIndia 
@DFS_India 
@PMOIndia"
150,acs_rkpandey,"Writing on the wall is clear and bold. Don't ignore it. 
#5DaysBanking 
#5DaysBanking
@FinMinIndia 
@DFS_India 
@PMOIndia"
151,acs_rkpandey,"आप स्कीम तो ले आएँगे लेकिन उन्ही स्कीम पर आपको भरोसा नहीं होगा तो तरक्की की उम्मीद मत कीजिए। 
जब डिजिटाइजेशन किया तो भरोसा कीजिए। #5DaysBanking से किसी का नुकसान नहीं है। बदले में आपको संतुष्ट वर्कफोर्स मिल रहा है। 
@FinMinIndia 
@DFS_India 
@PMOIndia"
152,acs_rkpandey,"@chandeltweets अजय जी, मम्मा नहीं श्रीमान् पप्पा हैं 😜"
153,acs_rkpandey,"RT @pankajparichay1: Dear music lovers, just listen to what Sonu Nigam feels, ""This has to be just Divine blessing. You can't acquire this…"
154,acs_rkpandey,@KapilMishra_IND @capt_mishra आपकी बातें सही हो सकती हैं किन्तु आपको कोई बेरोजगार दिवस मनाने की जरुरत तो नहीं थी। स. मनमोहन सिंह बुजुर्ग व्यक्ति हैं। उनको उनके जन्मदिन पर थोड़ा सम्मान जरूर देना चाहिए। आपने जो लिखा है वास्तव में वह काँग्रेस और लेफ्ट की संस्कृति है।
155,acs_rkpandey,@AshokKu19356634 ईश्वर ने हमें एक अवसर दिया है समाज के लिए कुछ अच्छा करने का। नियम कानून के अंदर रह कर अगर किसी की मदद हो जाए तो करना ही चाहिए। आपके सकारात्मक सोच को प्रणाम। 🙏
156,acs_rkpandey,RT @BhashaBhojpuri: भोजपुरी लोकगाथा जवना के अंग्रेजी में Ballads बोलल जाला आ विश्व के अधिकतर प्राचीन सिनेमा प एह लोकगाथा यानि कि Ballads के…
157,acs_rkpandey,एक झोरा करोना लेकर घरे जाएँगे। 🤭 https://t.co/bKbchZFAk1
158,acs_rkpandey,@Garima1907 Hope drugs not required for doing so. 😂😂😂
159,acs_rkpandey,RT @idesibanda: @shreysrivas25 @dmvaranasi2016 @Bankers_We @dmvaranasi2016  क्या बैंककर्मियों का परिवार नहीं है कि वो 5 दिन बैंक चलाये और 2…
160,acs_rkpandey,हई देखs! बिहार में 'हाथ' बच्चल है काs? https://t.co/0deOPwoVYe
161,acs_rkpandey,ट्विटर पर चच्चा की सरकार बन रही है। मतलब गजबे है @SushantBSinha! https://t.co/EiYPNz4Lx4
162,acs_rkpandey,शुद्ध देसी भाषा में भड़ास निकालने वाले महायोद्धा को फॉलो नहीं किया तो क्या किया! Don't miss the bus. 👇 https://t.co/AVVfI2iXsB
163,acs_rkpandey,"सुनील गवास्कर, विराट कोहली और अनुष्का शर्मा के बोल पर श्रीमान रहीम कहते हैं:

'रहिमन’ जिव्हा बावरी, कहिगी सरग पताल।
आपु तो कहि भीतर रही, जूती खात कपाल॥

अर्थात् 

जीभ तो पगली है, उँच-नीच कहकर अंदर बनी रहती है। जूता तो सिर को खाना पड़ता है ना। 
😜😜"
