,Text
43,"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…"
44,"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…"
45,"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…"
46,"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…"
47,"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…"
48,"RT @The_Nakum: हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव…"
49,"हमारे गुजराती भाई अनिल अंबानी के पास वकील की फीस के लिए पैसे नही है और घर के सोने-जवेरात बेच कर फीस भर रहे है , में गुरुदेव @PrayagrajWale को अनुरोध करता हु की इस महामारी में आगे आये और अंबानी भाई की उचित मदद करे । #व्यंग
😊😢😊😢 https://t.co/EOIX3iODRQ"
50,"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…"
51,"RT @m_meluha: अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये…"
52,"अपने बच्चे के कंधे पर किताबों की झोली, भारी दिखती है पर अपने दुकान पर काम करने वाले छोटू से, किलों-किलों समान उठवाते हो. ये कौन सा मापक यंत्र है भइ, खैर मुझे क्या.... ☕

#शुभ_प्रभात
#SundayMorning #व्यंग"
53,"आज मनमोहन सिंह का जन्मदिन है,

उतने सेकंड का मौन अगर हम उनके लिए रखें जितने लाख करोड़ के स्कैम उनके मौन मुद्रा के नीचे हुए हैं, तो उनकी 10000 पीढ़ियाँ निकल जायेंगी।

#व्यंग"
54,"जुआ चलै सट्टा चलै
चलै IPL बाजार
तुम बचवा बिना
मास्क न जायेओ बाहर
जागत है सरकार।
#व्यंग"
55,"आगे बढ़ने वाला व्यक्ति कभी 
किसीको बाधा नहीं पहुंचाता,
                  और
दूसरों को बाधा पहुंचाने वाला
 व्यक्ति कभी आगे नहीं बढ़ता। :)
#व्यंग"
56,"सम्भाल नही पाए भईया धधकती आग जवानी मे 
एही बदे भउजी खुद गई परधानी मे 
#व्यंग https://t.co/wYGNpOMO7N"
57,"मैं एनसीबी, स्वच्छ भारत मिशन के साथ हूं, बीजेपी के नहीं, प्रिय भक्तों। लोग तो ड्रग्स के ख़िलाफ़ कैंपेन चलाते ही रहे हैं।
#व्यंग"
58,"मरते है किसान,बेरोज़गार, युवा तो मारने दो वह कोई सुशांत थोड़ी हैं,

उजड़ता है खेत-खलिहान,और भारतीय भविष्य तो उजड़ने दो, कंगना का मकान थोड़ी है!!
#किसान_बिल 
#युवा 
#वयंग"
59,"@ManishJhaTweets दरभंगा से क्यूँ, हमको तो लगता हैं बिहार में आचार संहिता लगने से तुरंत पहले कहीं #NitishKumar #पूर्णिया #भागलपुर से हवाई सेवा ना शुरू करवा दे!! #व्यंग"
