ID,Sentence,RajivJi
5388,हिल चुका है सबका=(सपा+बसपा+कांग्रेस) शासन समय बदलने वाला है आज सुना है अपने दिल से सबको योग कराने वाला योगी आने वाला है। !,0
5391,मौत पर तमाशा करना मजाक बनाना कांग्रेस की पुरानी आदत हैं । जिस सुष्मा ने देश की सेवा मैं कोई कमी नहीं रखी उसकी मौत पर हसना कांग्रेसीओं का हसना नई बात नहीं,0
5392,बंगाली भद्रलोक ने ममता के आने और उसकी बदतमीजी की आशंका से सालों तक मजबूरी में सी। पी। एम। को वोट दिया।,0
5393,सर कल तो हद हो गयी वो सी। पी। एम। में से को मिटा के,0
5394,सेना के देख रेख में चुनाव हो। पर सत्ता मिलते ही क्यों भाव हो! सी। पी। एम। के राज में हर बात के लिए सीबीआई जांच।,0
5397,"अपने काला धन को सफेद न कर पाने के कारण बौखलाए बाबा, ममता बेगम और रामदेव दोनों की मानसिकता एक, बेशुमार काला धन दोनों के पास",0
5405,उसे आदत है मुझे रुला कर सोने की। जिस दिन मेरी आँख ना खुली कसम से नींद से नफ़रत हो जायेगी उसे,0
5411,"लगता है मोदी जी में अफगानिस्तान से उच्च कोटि की अफ़ीम मंगाने की डील कर ली है, अब और ज्यादा रोयेगा ये फ़कीर",0
5420,"अब कितना भी पॉलिश करो, हक़ीक़त यही है श्याम श्वेत। हिलेरी रह गई दाना गिनती, और ट्रंपवा जोत गया खेत।",0
5428,आज शाम कोलकाता की सड़कों पे निकला तो पोस्टर दिखा। दीदी के लिए जीता जगता सबूत। दुकान वाले ने कहा मै 2 घंटे ज्यादा काम करूँगा,0
5451,अमी मोंजुलिका। अमी राजा को मारबो दीदी ने केजरीवाल को भी पीछे छोड़ दिया। जि तो कमालई कर दओ दद्दू,0
5456,"सब गरीब गरीब कर रहे है, कोई उन गरीबों के बारे में भी सोचो जिनके घर का खर्चा न जाने कैसे चल रहा होगा, अम्बानी, अडानी, टाटा, माल्या !",0
5457,टाइम पर्सन ऑफ द इयर : #मोदी टाईम पास ऑफ द इयर : #केजरी,0
5460,आज ओवैशी भूल गया है की उनके पुरब्ज़ ने चाकू छुरी के नोक पर ही अपना धर्म बदला था नोटः ये पुराने गड़ फट्टू है,0
5463,चिंटूओं का एक और झूठ बेनकाब RBI गवर्नर की पत्नी की बहन नहीं हैं नीता अंबानी,0
5494,"जो कंप्यूटर आज तुम्हारा है, वह कल किसी और का था। कल किसी और का होगा और परसों किसी और का होगा। तुम इसे अपना समझ कर क्यों मगन हो । यही खुशी तुम्हारी समस्त परेशानियों का मूल कारण है।",0
5495,हिन्दुस्तान का रुपया अमरीका के डालर के बराबर हो गया और अमरीका ने आइटी का अफरीका के एक एसे देश को दिया जो हिन्दुस्तान से सस्ता है,0
5502,अब तो माल्या से भी सारा बकाया तभी वसूला जा सकता है अगर किसी दिन वो बिना हेलमेट के एक्टिवा चलाते पकड़े जाएं।,0
5503,अब समझा आप हकला क्यों रहे थे। बच्चे नहीं हकलाएँगे तो और कौन हकलाएगा 🙂 #कटाक्ष #व्यंग,0
5504,"अरे कौन कहेता है कि देश का Future देश के युवा है?और अगर है तो Bright Future किसको चाहिए? देश का Future तो वो लोग है, जो Parliament बंध रखके लोगोके घर घर जाकर उनकी सेवामे जूटे है! हमारा देश विकासशील था और रहेगा उसे विकशीत देश की यादी मे लानेकी हमे कोई दिलचस्पी नही है | #कटाक्ष",0
5505,एक आदमी ने एक बाबा की खूब सेवा की ओर उनसे आशीर्वाद मांगा हे बाबा मैं चाहता हूँ कि मेरी मृत्यु राहुल गांधी के प्रधान।,0
5506,कुछ लोग इस बेशर्म को नोबेल प्राइज देने की मांग कर रहे थे,0
5508,कोरोना वैक्सीन के लिए बेजुबान जानवरों पर परीक्षण करने की आवश्यकता क्यों है? बलात्कारी कब काम आएगा? कब तक आप उन्हें मुफ्त।,0
5510,"गलत सिर्फ वही है जो दूसरे कर रहे हो, हम जो स्वयं करते हैं वह सदैव सही होता है, । #thursdaymorning #कटाक्ष",0
5512,जितनी सच्चाई । आपके कथन में होती है। उतनी सच्चाई अपने हृदय में लाएं। न की भाषन में। 🙏 #कटाक्ष समाजिक सच्चाई,0
5525,"याद रखिये। हमें बीमारी से लड़ना है, बीमार से नहीं 😂 #कटाक्ष #यूँही",0
5543,खबरदार जो किसी ने भी दिल्ली का नाम भी लिया तो,0
5544,"गिलगिट बाल्टिस्तान में पाकिस्तान ने बुद्ध की प्रतिमा ध्वस्त किया इस खबर से सभी वाक़िफ़ होंगे पर इसपर कोई उदित राज, कोई।",0
5558,"यहाँ मरते है इंसान युॅ भी इंसान की कीमत कुछ भी नही टैगोर, विवेकानंद की धरती पर बंगाल मे कुछ कीमत ही नही ये अमानवीय।",0
5567,"रुतबा तो खामोशियों का होता है। अल्फ़ाज़ का क्या ? वो तो बदल जाते हैं, अक्सर हालात देखकर।",0
5591,अगर कोई पागल है तो वो है महेश भट्ट इन्हे तत्काल इलाज की जरूरत है आपनी बेटी और उसके दोस्तों को बचाने के लिए अपनी किसी पुरानी कहानी को सुशांत के साथ फिट कर रहा है भक्क 😏😏,0
5592,अगर पांच सालों में दिल्ली अपनी ये दशा भूल जाए तो इससे ज्यादा दुखद और कुछ नही होगा फ्री के चक्कर में पड़ कर ऐसे आदमी को सत्ता सौंप दी जिसने दिल्ली पूरी जला दी चाहे वो दंगों में हो या महामारी में 😰😰 अपने परिवार के साथ घर में रहे सुरक्षित रहें 🙏🏻,0
5620,जिसे मानसिक रूप से ना तोड़ पाओ उसे भावनात्मक रूप से चोट दो यही है मायानगरी की सच्चाई 😡,0
5626,देख लो चमचों ताइवान को भी पूरा भरोसा है की चीन को हरा सकता है तो भारत ही है 🇮🇳 💪🏻,0
6754,"अब ये अफवाह कौन उड़ा रहा, बार वाली, सपना चौधरी से अच्छा डान्स करती है 🤔😂",0
6778,"जो हिन्दू हिंदुत्व का विरोध करते हैं , हमारे यहाँ उसे दोगला कहते हैं, और आप के यहाँ क्या कहते हैं ? 🤔",0
6790,एक बात पूछनी थी हर नई फिल्म शुक्रवार को ही रिलीज क्यु होती है मंगल या शनिवार को क्यु नही जानकार लोग बताएं। 🤔,0
6810,"हिंदुओं में यदि दोगलापन न होता, तो आज भारत मे न कोई आतंकी होता और न इस आतंकी कौम के बारे में जानने की जरूरत होती।",0
6961,"भाई एक ही इलाज है, जो पागल कुत्तो का इलाज होता है, , अब तो आप सब समझ गये होगे। #DefendingTabligi",0
7171,जल्दी करे आभार प्रकट करना है 😊🙏,0
7222,"इनके डीएनए की जांच की जरूरत ही नहीं है, कन्फर्म खराबी है।",0
7253,यह सब चुनाव में होता है बाद तो वो गिरगिट भी जानता है वापस चुनाव आने दो सब भूल जाते हैं।,0
7675,इसको तो उड़ता तीर लेने किसको तो आदत पड़ गई अब,0
7724,वो भाई चुनाव हारने के बाद काफी गहरे सदमे में हैं बाहर निकल कर एक जोर से सांस ले लेता असलियत का पता चल जाता।,0
7773,तुम कितने कोडी के हो जनता जनार्दन जानती हे,0
8404,सही वक्त की चोट के इंतजार में हर कोई सराफत का चोला ओढ़े है यहाँ तब तक रिश्ते निभाते जाइये और मरहम जुटाते जाइये 😒😒,0
8405,"सालों पहले, । कुछ हिन्दू जो कायर थे। उन्होंने। इस्लाम कबूल। कर लिया था। और जो। शेर थे वो धर्म के लिए लडते रहे",0
8411,हाँ हम चुड़ैल किसको बोलते है पता है ना,0
8423,वो तो देदेंगे 2024 में। लेकिन बाद में जो आएगा वो योगी आदित्यनाथ जी होंगे सम्भाल नहीं पाओगे बे।,0
8489,हर विभाग कर्मचारियों की कमी से जूझ रहा है जब तक दुनिया की दूसरी बड़ी प्रशासनिक मशीनरी में मानवीय और भौतिक संसाधनों की पूर्ति नहीं होगा तब तक एक बेड पर दो दो बच्चों का इलाज तो होगा ही इसमें नाराज होने की क्या बात है। #AnjanaOmKashyap,0
8498,देखते हीं देखते ये देश की सबसे बड़ी ब्रेकिंग न्यूज बन जाती है। बरखा और राणा अयूब विदेशी अखबारों में बड़े बड़े आर्टिकल लिखती हैं और नरेन्द्र मोदी की इस प्रचंड जीत को बड़े चालाकी से कट्टरवाद की जीत का तमगा दे दिया जाता है।,0
8558,मैं चाहता हू मेरी मौत राहुल गांधी के प्रधानमंत्री बनने के बाद हो 😎🤣😜,0
8601,मैं चाहता हू मेरी मौत राहुल गांधी के प्रधानमंत्री बनने के बाद हो 😎🤣😜,0
8647,उस कुर्सी पे पप्पू ऑयल लगाना मत भूलना 🤣,0
8856,इतनी देर तक क्यों सोते हो भाई। जब हम उठते है तभी सूर्योदय होता है! 💪🙄 शुभ प्रभात 😀😁😂,0
8867,एक व्यक्ति अपनी पत्नी के साथ पार्क में। फोटो शीर्षक का अंग्रेजी से हिन्दी अनुवाद मेरी पत्नी का आन्नद लें। इंग्लिश हम शर्मिंदा है तेरे कातिल जिंदा है। ! 👇😝😅😂😆😃😝😅😂😆😃,0
8869,कल रात को मुझे बहुत ही डरावना सपना आया 👇 सपने मे कूलर चलता हुआ दिखाई दिया 😝😂,0
8874,अभी मन हुआ मैं आत्महत्या कर लूं फिर सोचा इतनी ठंड में मरना सही बात नहीं है पतली चादर ढककर सारी रात बाहर सुला देंगे 😝😅😂😆😃,0
8902,सच्चाई छुप नही सकती कभी झूठे उसूलों से 👇 सुरजेवाला कह रहा हे यूरिया की लाईन में असली किसान नहीं बीजेपी के लोग लग रहे हे इसका मतलब नोटबंदी की लाईन में कांग्रेसी थे क्या। ? जवाब देकर रिटवीट जरूर करें,0
8907,"हवा की लहर बनकर। तू मेरी खिड़की खट खटा। मैं बन्द दरवाजे में तूफान समेटे बैठा हूँ। ! इस कविता में कवि अपनी गर्ल फ्रेंड को संकेत दे रहे है कि वो अपनी पत्नी के साथ बैठे है, कृपया मिस कॉल ना दे। 😜",0
8949,लोग अपने फ़ैसले से दुनिया बदल देते है।   और बुजदिल लोग दुनिया के डर से अपने फ़ैसले बदल लेते है। ।,0
8991,दिखाई ना दे मगर शामिल जरूर होता है खुदकुशी करने वाले का कोई कातिल जरूर होता है ? 😢,0
9029,अगर अरविंद केजरीवाल को या उसके परिवार में से किसी को कोरोना हो गया तो अरविंद केजरीवाल का इलाज कहा किया जाएगा क्योंकि यह तो दिल्ली का नही है क्या केजरीवाल अब आम जनता पर लागू किया हुआ नियम अपने ऊपर भी अपनाएंगे?,0
9112,"मन्दिरो के सोने पर नजर गढाने वालो देश को लूटने बालो तुमने जितना देश को लूटा है उतना किसी ने नही लूटा मोदी जी इन लुटेरों की प्रॉपर्टी बेच कर इनके इलाके के गरीब लोगों, किसानों को राहत दी जाए 🙏",0
41,शाहरुख़ ने 50 के नजदीक पहुँच के ऐसी बॉडी बना ली और यहाँ साला भरी जवानी में गर्भवती बनके घूम रहे हैं।,1
51,OMG 😳 ये है इस्लामी साँप मदरसों मे पढ़े हुए सपोले अगर मदरसे बंद नही हुए तो भारत मे आप के साथ यही होगा,1
60,#Meherbaan ऐसे उबाऊ सोंग बनाकर हमपर मेहरबानी करे। धन्यवाद #BangBang,1
181,DMK ने सरकार को आधा तलाक़ दिया SP&BSP ने सरकार से आधा विवाह किया पर चाहा कर भी सुहाग रात नहीं मना सकते अपवित्र रिश्तों में ऐसा ही होता है ।,1
190,पाकिस्तान आतंकवाद का शिकार हुआ है वहां तो शान्तीदूत रहते हैं,1
205,1। 20 करोड़ के मैच फिक्सिंग को लेकर मीडिया और पुलिस 5 दिन से इतने परेशान है जैसे 2G कोयला रास्त्रमंडल खेल रेल सब घोटाला इसी से खुलेंगे,1
245,ससुर ने किया बलात्कार ISLAMIC LAW NOW WIFE IS MOTHER,1
349,SCAM की हर नेता की अपनी अपनी परिभाषा है,1
358,लालू यादव तेजस्वी यादव बेटा नम्बरी। बाप दस नम्बरी।,1
362,मुंबई में आज पेट्रोल की कीमत 86 रुपए 72 पैसे है। परंतु प्रधानमंत्री जी की उम्र केवल 67 वर्ष है!,1
371,#AreYouSeriousRahul का सवाल पूछने वालों की SERIOUSNESS पर ही सवाल है।,1
409,Odd Day मैं BJP से बेहतर समझता हूँ हिंदू धर्म राहुल। Even Day मोदी शिवलिंग पर बैठे बिच्छू जैसे थरूर विवादित ज।,1
418,कैराना में जिन्ना नहीं गन्ना ही असली मुद्दा BJP को बदलनी पड़ी अपनी रणनीति।,1
446,Best forward of day : ठोकर लगने पर छोटो को माँ याद आती है और बडो को मातोश्री ! #puns #अमित_शाह #AmitShah #Sh।,1
449,राहुल गांधी पहली बार चला गले मिलने। गले मिलने और गले पडने में क्या फर्क है,1
469,सोनिया गांधी ने राहुल को अध्यक्ष बनने की बधाई दी एवं स्वागत किया। मां बेटे का स्वागत ऐसे कर रही है जैसे राहुल ने किला जीत लिया,1
470,गले में रुद्राक्ष की माला पहने दिखे शिवभक्त राहुल Aajtak News App।,1
491,7 दिन मे कितना बदल गया मेरा हिन्दुस्तान! न बीफ पर कोई बयान। न अरहर की चिंता। न पुरुस्कार लौटाना। देश सहिष्णु हुआ है या चुनाव ख़त्म?,1
496,मौसम की तरह नेताओं के लिए इसका मतलब भी बदलता है,1
555,#ramrahimverdict बाबा राम रहीम messenger of love यानि कि अहिंसा का पाठ पढ़ाते थे। क्या यही सीख दी उन्होंने अपने भक्तों को?,1
584,मेरा प्यार राफेल जैसा हैं तुम्हें आखिर तक उसकी कीमत नहीं पता चलेगी। Happy Valentine s Day all! 👻💕,1
610,47 साल पुरानी खबर से कांग्रेस कार्यकर्ताओं में जोश की लहर ;) #RahulGandhi #RahulCoronation,1
1914,जमात ए इस्लामी बैन होने के बाद अगला नंबर हुर्रियत का हो सकता है @aajtakjitendra,1
2052,सबका साथ सबका विकास या सब बकवास,1
2101,सैफई की सफाई की याद देर से आई है। अखिलेश जी। अब पछताए क्या होत है जब माया चुग गई खेत।,1
2141,राहुल गांधी बैंकाक से वापस आ गये हैं,1
2202,पाकिस्तानी घुसपैठ करना चाहते थे । जन्नत में । हमने जन्नत । के वाशिंदों को ही भेज दिया उनके । जहन्नुम में।,1
2339,आम आदमी आय से अधिक EMI रखता है और राजनेता आय से अधिक संपत्ति #SupremeCourt,1
2343,समाजवादी पार्टी के घर का बवाल अब सिर्फ एक ही प्राणी शांत करा सकता है। मच्छर चिकनगुनिया का मच्छर #Netaji,1
2385,हसरत। पूरी ना हों। तो ना सही। ख्वाहिश करना कोई गुनाह तो नहीं। ! Pakistan on Kashmir,1
2406,कांग्रेस को अली मुबारक हमारे लिए बजरंग बली ही पर्याप्त: योगी,1
2878,आखिरकार केजरू का ढोलक फूट ही गया,1
3479,कश्मीर अगर स्वर्ग है तो उसके लिए ७२ हूरों वाले स्वर्ग क्यों जाना है भाई?,1
4001,भारत एक विकासशील देश है और तुम्हारा पाकिस्तान एक विकसित देश है फर्क इतना है कि तुम लोग Terrorist का उत्पादन खपत से ज्वादा करते हो फिर Expoकरते हो,1
4026,दया एक सात्विक भावना है। पर भाई ये रहती कहां है,1
4861,हम मोदी जैसा प्यार नहीं करते हैं,1
5085,18 करोड़ खर्च कर लगभग 356 तालाब खुदवाने के बावजूद ज्यादातर तालाब सूख गए है।,1
5212,देश भी बदल रहा है और दिल्ली भी! पर देश पीछे जा रहा है और दिल्ली आगे बढ़ रहा है। #मोदी_फिरकी_ले_रहा_है,1
5213,पागल नीम की लकड़ी को चंदन समझता हैं नादान है जो दिल्ली को लंदन समझता हैं अरे कोई इस चाय वाले को समझाए ग़रीबो की कमाई को भी कालाधन समझता है।,1
5214,"जितने में मोदी ( फकीर ) के दो जोड़ी कपड़े बनते है, उतने में दिल्ली में केजरीवाल सरकार एक मोहल्ला क्लीनिक बना देती है।",1
5217,काले धन पे पेनल्टी 200% से घटा के 10% कर दी? काला धन वालों के सामने मोदी जी ने घुटने टेक दिए?,1
5218,यहाँ से पचास पचास कोस दूर तक जब और विपक्ष कालेधन का रोना रोते हैं तो जनता कहेती सो जा वरना मोदी कालेधन पर SS कर देगा,1
5219,कालेधन पर मोदी की तैयारी का ही शोर है तकरार करें नेता विपक्ष और छुप कर बैठे चोर हैं। #SoSorry,1
5223,1971 की लड़ाई में हमारे सैनिकों की बहादुरी का इनाम इंदिरा गाँधी ने1973 में उनकी वन रैंक वन पेंशन को ख़त्म करके दिया,1
5226,पाक से संघर्ष विराम की उम्मीद करना ही बेमानी है कभी भारतीय जवान भी संघर्ष विराम का उलंघन करें तब माना जाय कि कुछ नया हुआ,1
5227,"#HappyBirthdaySRK तब से काम कर रहे हैं, जब उनकी हिरोइन पैदा भी नहीं हुई थीं",1
5228,जन्मदिन के दिन अमेरिका मत जाना शाहरुख जी। कहीं फिर से कपडे उतरे तो बेज्जती हो जायेगी। जन्मदिन मुबारक #जन्मदिन_मुबारक_बादशाह,1
5229,#सुना_है ! #iphone7 टिम कुक के टकले पे रख के चार्ज किया जायेगा !,1
5232,लो इसकी तो कोई सुनता ही नही सरदार पटेल साब ने जितना सम्मान पटेल जाति को दिलाया उतना ही इस दूसरे पटेल ने गवां दिया,1
5233,"मोदी के हिसाबसे 70 सालसे देश कटार मे खडा था तो फिर वो सरदार पटेल, बाजपेई, शास्त्रीजी जैसे महान नेताओका भी अपमान कर रहे है। #YoModiSoFakeer",1
5234,जी आपने आज घर टूटने से बचा लिया #DeMonetisation की वजह से समाजवादी पार्टी का परिवार बिखरने से बच गया 😂 आंसू रुक नहीं रहे,1
5235,समाजवादी पार्टी के टूटने से सबसे ज्यादा नुकसान केजरी को हो रहा है इनके चलते आजकल सरजी न्यूज़ मे सुर्खिया भी नही बटौर पा रहे,1
5236,शिवपाल जी जैसे महान व्यक्ति के साथ शुरू से ही गलत होता आ रहा है समाजवादी पार्टी में शिवपाल जी आप संघर्ष करो हम आपके साथ हैं पार्टी टूटने तक।,1
5237,मोदी के नोटबंदी से सबसे ज्यादा फायदा समाजवादी पार्टी को हुआ। पार्टी टूटने से रूक गये। क्योंकि नोटबंदी से अवैध कमाई के बँटवारे का झगड़ा समाप्त,1
5238,"BREAKING। समाजवादी पार्टी टूटने की कगार पर, कई छोटी पार्टियों में बंटेगी, संभावित चुनाव चिन्ह : टायर पैडल हैंडल घंटी सीट।",1
5240,Paytm लाखों करोड़ों का बिजनेस करा दिया मोदी सरकार ने दिवाली पर कहते थे ₹10 की चाइना की लाइट मत लगाना घर में यह कैसी देशभक्ति है शर्म करो,1
5241,पाकिस्तान रोज हमारे जवानों के खून से होली खेल रहा और मोदी सरकार नोटबंदी पर दिवाली मना रही #nagrotaattack #DeMonetisation,1
5244,चीन का विरोध सिर्फ लाइट लगाने का दिवाली तक था अब चीन का #Paytm देशभक्ति का नया #Symbol है बीजेपी के अरूणजेटली कह रहे है कि भारत केशलेश हो,1
5245,"दोस्त रिश्तेदार जो दिवाली , न्यू यर में आपको मैसेज नही करते लेकिन जियो सिम का फ्री रिचार्ज पाने के लिए व्हाट्सअप करते हैं #respectBC",1
5246,ओह भाई १५ दिन पहले दिवाली में पटाखे ख़रीदने में चीन चीन कौन चिल्ला रहा था,1
5251,जेल ब्रेक का फर्क भोपाल और पंजाब में सिर्फ ये है की भागने वाले अलग अलग धर्म के थे । एक्शन लेना या न लेना धर्म देख के होता है ।,1
5252,#JioOffer का आधा से ज्यादा डेटा तो लोग सिर्फ ट्विटर पे अरविन्द केजरीवाल को ट्रोल करने में इस्तेमाल करते है।,1
5253,"फिलहाल जियो। एयरटेल, वोडाफोन, आईडिया के साथ वही कर रहा है जो 2014 में मोदी ने कांग्रेस, सपा व बसपा के साथ किया था।",1
