,question,ref_answer,pred_answer,bleu_score,train_data
24,Question 1: What events are described in the Adi Parva of the Mahabharata?,"Answer 1: The Adi Parva contains various events such as the burning of the house of lac, the slaying of Hidimba, the destruction of the Asura Vaka, the Swayamvara of Draupadi, her marriage after the overthrow of rivals in war, the abduction of Subhadra, the burning of the Khandava forest, and the meeting with Maya the Asura-architect, among others.",Answer 1: The Adi Parva of the Mahabharata describes the events of the,{'google_bleu': 0.0962962962962963},True
25,Question 2: What is described in the Sambhava Parva?,"Answer 2: The Sambhava Parva narrates the birth of various kings and heroes, including the sage Krishna Dwaipayana (Veda Vyasa), as well as the partial incarnations of deities, the generation of Danavas, Yakshas, serpents, Gandharvas, birds, and other creatures. It also covers the life and adventures of King Bharata, the progenitor of the Bharata dynasty, and the son born of Sakuntala in the hermitage of the ascetic Kanwa.","Answer 2: The Sambhava Parva describes the burning of the house of lac,",{'google_bleu': 0.0736196319018405},True
26,Question 3: What significant events occur during Arjuna's journey in the Adi Parva?,"Answer 3: During Arjuna's journey in the Adi Parva, he meets Ulupi, the daughter of a Naga (serpent), visits sacred spots, and witnesses the birth of his son Vabhruvahana. He also rescues the five celestial damsels turned into alligators, meets Madhava (Krishna) on the holy spot called Prabhasa, and carries away Subhadra in a wonderful car incited by Krishna. Additionally, Arjuna burns the Khandava forest, rescues the architect Maya, and begets a son with the bird Sarngi.",Answer 3: The important events occur during Arjuna's journey in the Adi Par,{'google_bleu': 0.05405405405405406},True
27,Questions: What is the name of the parva that describes the establishment of the grand hall by the Pandavas and their review of their retainers?,Answers: The name of the parva that describes the establishment of the grand hall by the Pandavas and their review of their retainers is Sabha or The Assembly.,Answers: The name of the parva that describes the establishment of the grand hall by the,{'google_bleu': 0.543859649122807},True
28,Questions: Who delivered the princes confined in the mountain-pass by Jarasandha?,"Answers: The princes confined in the mountain-pass by Jarasandha were delivered by Vasudeva, also known as Krishna.",Answers: Vasudeva delivered the princes confined in the mountain-pass by,{'google_bleu': 0.3108108108108108},True
29,Questions: What was the cause of Duryodhana’s indignation and envy in the assembly?,Answers: The cause of Duryodhana’s indignation and envy in the assembly was his sight of the magnificent scale on which the arrangements had been made for the Rajasuya sacrifice by Yudhishthira.,Questions: Duryodhana’s indignation and envy in the assembly,{'google_bleu': 0.18253968253968253},True
30,Questions: What is the fifth Parva called and what does it contain?,"Answers: The fifth Parva is called Udyoga, and it contains incidents related to war and peace.",Questions: The fifth Parva is called Virata and contains the five shamas,{'google_bleu': 0.2857142857142857},False
31,"Questions: Who did Duryodhana ask for assistance in the war, and what did Arjuna request?","Answers: Duryodhana asked for troops, while Arjuna requested Krishna's assistance as an unfighting counsellor.",Duryodhana asked Arjuna to help him in the war against the ,{'google_bleu': 0.06451612903225806},False
32,"Questions: Who went as an envoy to the Pandavas from the Kauravas, and what did he convey?","Answers: Sanjaya went as an envoy to the Pandavas from the Kauravas, conveying the desire for peace.",Answers: The envoy went as an envoy to the Pandavas from the,{'google_bleu': 0.44594594594594594},True
33,Questions: What incidents are narrated in the Bhishma Parva?,"Answers:The Bhishma Parva recounts the formation of the region known as Jambu, Yudhishthira's army's great depression, and the fierce ten-day battle. It also includes Krishna driving away Arjuna's compunction, Krishna's attempt to kill Bhishma, and Arjuna placing Shikandin before him to pierce Bhishma with arrows.",Answers: The Bhishma Parva is recited by Sanjaya,{'google_bleu': 0.06796116504854369},True
34,Questions: What events are described in the Drona Parva?,"Answers: The Drona Parva features the installation of Drona as the commander of the army, Arjuna's retreat from the field, the death of Abhimanyu, and the destruction of the Sansaptakas. It also includes the discharge of the Narayana weapon by Aswatthaman and the recital of Krishna and Arjuna's glory by Vyasa.",Answers: The Drona Parva describes the great depression of Yudhisht,{'google_bleu': 0.07207207207207207},True
35,Questions: What is the content of the Karna Parva?,"Answers: The Karna Parva narrates the appointment of the king of Madra as Karna's charioteer, the fall of the Asura Tripura, and the mutual wrath between Karna and Salya. It also includes Bhima ripping open Dussasana's chest and drinking his blood, as well as Arjuna's slaying of Karna in single combat.",The content of the Karna Parva is a mixture of the Bhishma,{'google_bleu': 0.04504504504504504},True
36,Questions: What incidents are described in the Sauptika Parva?,"Answers: The Sauptika Parva narrates the entry of Kritavarman, Kripa, and Aswatthaman into the battlefield after the departure of the Pandavas. It includes the slaughter of the Panchalas and Draupadi's distress. Aswatthaman attempts to kill the sleeping Panchalas but is stopped by Krishna and Arjuna. Krishna and Dwaipayana (Vyasa) curse Aswatthaman, and Pandava takes away the jewel from his head.",The Sauptika Parva describes the frightful incidents of king Dury,{'google_bleu': 0.029197080291970802},True
37,Questions: What events take place in the Stri Parva?,"Answers: The Stri Parva depicts Dhritarashtra's anguish over the death of his children and his enmity towards Bhima. Vidura consoles Dhritarashtra and then describes their visit to the battlefield. The wives of the slain heroes lament, and Gandhari and Dhritarashtra become unconscious. Krishna pacifies Gandhari, and the bodies of the deceased princes are cremated. The Parva also includes the revelation of Karna as Kunti's secret son.",Questions: The Stri Parva is a Parva called Sauptika of ,{'google_bleu': 0.041379310344827586},True
38,Questions: What is the content of the Santi Parva?,"Answers: The Santi Parva portrays Yudhishthira's despondency after killing his relatives. Bhishma, lying on a bed of arrows, imparts knowledge about various duties and systems. The Parva covers emergency duties, the path to final emancipation, and the understanding of consummate knowledge. It consists of 339 sections and contains 14,732 slokas.",The Santi Parva is a parva of frightful incidents.,{'google_bleu': 0.0391304347826087},True
39,Questions: What is described in the Anusasana Parva?,"Answers: The Anusasana Parva describes how Yudhishthira reconciles with himself after listening to Bhishma's exposition of duties. It covers rules, Dharma, Artha, charity, qualifications of donees, and the supreme importance of truth. The Parva also explores individual duties, conduct, the merit of Brahmanas and kine, and the mysteries of duties in relation to time and place.",Answers: The Anusasana Parva describes the ceremonials of individual duty,{'google_bleu': 0.07894736842105263},False
40,Questions: What events take place in the Aswamedhika Parva?,"Answers: The Aswamedhika Parva tells the story of Samvarta and Marutta, the discovery of golden treasuries by the Pandavas, and the birth of Parikshit who was revived by Krishna. It includes the battles fought by Arjuna while following the sacrificial horse, his encounter with Vabhruvahana, and the story of the mongoose during the horse-sacrifice.",Answers: The Aswamedhika Parva describes the events of the Asw,{'google_bleu': 0.07563025210084033},True
41,Questions: What happens in the Maushala Parva?,"Answers: The Maushala Parva depicts the tragic events that unfold among the Vrishni clan. Due to a curse, the Vrishnis, including Balarama and Krishna, kill each other on the shores of the Salt Sea. Arjuna witnesses the destruction of his clan, arranges the funeral of the deceased, and faces calamities on his journey from Dwaraka. Depressed, Arjuna seeks permission from Yudhishthira to adopt the Sannyasa mode of life.","Answers: The Maushala Parva deals with the ceremonials of individual duty,",{'google_bleu': 0.054838709677419356},True
42,Question 1: Who were the brothers of Janamejaya attending his long sacrifice on the plains of Kurukshetra? ,"Answer 1: The brothers of Janamejaya attending his long sacrifice on the plains of Kurukshetra were Srutasena, Ugrasena, and Bhimasena. ","Answer 1: The brothers of Janamejaya were Srutasena,",{'google_bleu': 0.3111111111111111},True
43,Question 2: Who was belaboured by the brothers of Janamejaya? ,Answer 2: An offspring of Sarama (the celestial bitch) was belaboured by the brothers of Janamejaya. ,Answer 2: The son of Parikshit was belaboured by the brothers of,{'google_bleu': 0.33783783783783783},True
44,Question 3: What did Sarama say to Janamejaya and his brothers when she arrived at the spot where they were at his long-extending sacrifice? ,"Answer 3: Sarama addressed Janamejaya in anger and said, “This my son hath committed no fault: he hath not looked upon your sacrificial butter, nor hath he touched it with his tongue. Wherefore hath he been beaten?” They said not a word in reply; whereupon she said, “As ye have beaten my son who hath committed no fault, therefore shall evil come upon ye, when ye least expect it.” ",Question 3: Sarama said to Janamejaya and his brothers that they were at,{'google_bleu': 0.031055900621118012},False
45,Question 1: Who was Upamanyu’s preceptor? ,Answer 1: Ayoda-Dhaumya was Upamanyu’s preceptor. ,Answer 1: Upamanyu’s preceptor was Ayoda,{'google_bleu': 0.38461538461538464},True
46,Question 2: What did Upamanyu’s preceptor say to him when he saw him in good condition of body? ,"Answer 2: Upamanyu’s preceptor asked him, “Upamanyu, my child, upon what dost thou support thyself? Thou art exceedingly plump.” ","Answer 2: Upamanyu’s preceptor said to him, '",{'google_bleu': 0.17346938775510204},True
47,Question 3: What did Upamanyu’s preceptor say to him when he took from him even the whole of what he obtained in alms? ,"Answer 3: Upamanyu’s preceptor said to him, “This is not the way in which thou shouldst obey the preceptor. By this thou art diminishing the support of others that live by begging. Truly having supported thyself so, thou hast proved thyself covetous.” ","Answer 3: Upamanyu’s preceptor said to him, '",{'google_bleu': 0.15789473684210525},True
48,Who was the son of Lomaharshana who narrated the history of Utanka to the Rishis in the forest of Naimisha? ,Ugrasrava Sauti was the son of Lomaharshana who narrated the history of Utanka to the Rishis in the forest of Naimisha. ,"The son of Lomaharshana, Ugrasrava SA",{'google_bleu': 0.08536585365853659},True
49,What did Saunaka do after he came back to the place of sacrifice? ,Saunaka spoke to Sauti and the assembly of saints of rigid vows who were sitting at ease. ,"Saunaka narrated sacred stories on a variety of subjects, questioned by Sau",{'google_bleu': 0.030303030303030304},False
50,Why was the son of Bhrigu named Chyavana? ,Saunaka asked Sauti why the illustrious son of Bhrigu was named Chyavana. ,The son of Bhrigu was named Chyavana.,{'google_bleu': 0.4782608695652174},True
51,Who was Puloma and what happened to her? ,"Puloma was the wife of Bhrigu whom he dearly loved. She was carried away by the Rakshasa called Puloma who had been betrothed to her by her father himself, although the former subsequently bestowed her, according to due rites, on Bhrigu. ",Puloma was a virtuous woman who became big with child by Bh,{'google_bleu': 0.028089887640449437},False
52,Question 1: What did the Rakshasa ask the god of fire repeatedly? ,Answer 1: The Rakshasa asked the god of fire repeatedly whether the woman he had carried away was rightfully the wife of Bhrigu or himself. ,Answer 1: The Rakshasa asked the god of fire repeatedly if the wife,{'google_bleu': 0.4019607843137255},True
53,Question 2: Why did the god of fire not answer the Rakshasa’s question? ,Answer 2: The god of fire did not answer the Rakshasa’s question because he was afraid to return an answer. ,Answer 2: The god of fire did not answer the Rakshasa’s question,{'google_bleu': 0.5609756097560976},True
54,What did the god of fire say to the Rakshasa about the status of Puloma as Bhrigu’s wife? ,"The god of fire said to the Rakshasa that Puloma was indeed first chosen by him, but she was not taken by him with holy rites and invocations. He said that Puloma was bestowed by her father on Bhrigu as a gift from desire of blessing and that she was duly made by Bhrigu his wife with Vedic rites in his presence. ",The god of fire said to the Rakshasa that Puloma was Bh,{'google_bleu': 0.14960629921259844},False
55,Question 1: What happened to the Rakshasa when he saw the infant Chyavana drop from his mother’s womb? ,"Answer 1: The Rakshasa quitted his grasp of the woman, fell down and was instantly converted into ashes. ",Answer 1: The Rakshasa saw the infant Chyavana drop from,{'google_bleu': 0.19230769230769232},True
56,Question 2: What did Brahma name the river that was formed by the tears of Pauloma? ,Answer 2: Brahma named the river Vadhusara. ,Answer 2: Brahma named the river that was formed by the tears of Paulom,{'google_bleu': 0.4074074074074074},False
57,What was the curse that Bhrigu gave to Agni for identifying his wife to the Rakshasa? ,The curse that Bhrigu gave to Agni was that he would eat of all things. ,Bhrigu gave Agni a curse for identifying his wife to the Rak,{'google_bleu': 0.10344827586206896},True
58,Question 1: What did Agni say was the consequence of a witness who misrepresented a fact of which he had knowledge? ,Answer 1: Agni said that a witness who misrepresented a fact of which he had knowledge would ruin his ancestors and descendants both to the seventh generation. ,Answer 1: Agni said that a witness who misrepresented a fact of which,{'google_bleu': 0.45454545454545453},False
59,Question 2: How did Agni multiply himself by his ascetic power? ,"Answer 2: Agni multiplied himself by his ascetic power and was present in various forms, in places of the daily homa, at sacrifices extending for years, in places where holy rites are performed, and at other sacrifices. ",Answer 2: Agni multiplied himself by his ascetic power.,{'google_bleu': 0.21084337349397592},False
60,Question 3: Why did Agni call himself the mouth of the Devas and the Pitris? ,Answer 3: Agni called himself the mouth of the Devas and the Pitris because they ate what was poured upon him as clarified butter at the sacrifices. ,Answer 3: Agni called himself the mouth of the Devas and the Pitris,{'google_bleu': 0.45454545454545453},True
61,Question 1: Why did the Rishis and the gods go to the presence of Brahma? ,Answer 1: The Rishis and the gods went to the presence of Brahma because they were anxious about the curse on Agni and the consequent interruption of all ceremonies. ,Answer 1: The Rishis and the gods went to the presence of Brahma,{'google_bleu': 0.423728813559322},True
62,Question 2: What did Brahma say to Agni when he summoned him to his presence? ,"Answer 2: Brahma addressed Agni as the creator, preserver, and destroyer of the worlds and the promoter of all sacrifices and ceremonies. He asked him to behave himself so that ceremonies be not interrupted. He also asked him why he acted so foolishly, being the Lord of all. ",Answer 2: Brahma said to Agni that he would not be able,{'google_bleu': 0.07476635514018691},True
63,Question 3: What was Agni’s role in the sacrifices and ceremonies? ,Answer 3: Agni’s role in the sacrifices and ceremonies was to be the mouth of the gods and the first who ate of what was offered in sacrifices. He was also the eater of the sacrificial butter and the one who conveyed it to the gods and Pitris. ,Answer 3: Agni’s role in the sacrifices and ceremonies was to be ,{'google_bleu': 0.23232323232323232},False
64,Who cursed Agni in the days of yore according to the text? ,Bhrigu cursed Agni in the days of yore according to the text. ,Agni cursed the gods according to the text.,{'google_bleu': 0.3695652173913043},True
65,Who were the biological parents of Pramadvara according to the text? ,"Viswavasu, the King of the Gandharvas, and Menaka, the celestial dancing-girl, were the biological parents of Pramadvara according to the text. ","The biological parents of Pramadvara were the Apsara, Menaka, and S",{'google_bleu': 0.19387755102040816},True
66,Who found and raised Pramadvara after she was abandoned by her mother according to the text? ,"Sthulakesa, a great Rishi possessed of ascetic power and learning, found and raised Pramadvara after she was abandoned by her mother according to the text. ",Pramadvara was born in the midst of the sacrificial w,{'google_bleu': 0.03773584905660377},False
67,Who was Pramadvara betrothed to according to the text? ,"Pramadvara was betrothed to Ruru, the son of Pramati and grandson of Bhrigu, according to the text. ",Pramadvara betrothed to a great Rishi called Sthul,{'google_bleu': 0.05405405405405406},False
68,How did Pramadvara die according to the text? ,Pramadvara died by treading upon a serpent that bit her with its envenomed fangs according to the text. ,"Pramadvara died according to the text, a woman who was a virgin and",{'google_bleu': 0.2},True
69,Who was Pramadvara’s foster-father according to the text? ,Sthulakesa was Pramadvara’s foster-father according to the text. ,Pramadvara’s foster-father was the king of the kings of,{'google_bleu': 0.16666666666666666},True
70,What was the name of the star that was supposed to be ascendant on the day of Pramadvara’s nuptials according to the text? ,Varga-Daivata (Purva-phalguni) was the name of the star that was supposed to be ascendant on the day of Pramadvara’s nuptials according to the text. ,The name of the star that was supposed to be ascendant on the day of Pramadvar,{'google_bleu': 0.49019607843137253},False
71,What vow did Ruru make after obtaining Pramadvara as his wife according to the text? ,Ruru made a vow for the destruction of the serpent-race after obtaining Pramadvara as his wife according to the text. ,"Ruru made a vow to his wife, Pramadvara, after obtaining",{'google_bleu': 0.23076923076923078},True
72,What was the dreadful vow that Ruru had taken according to the text?,Ruru had taken a dreadful vow that he would kill every snake that he might come across according to the text.,Ruru had taken a dreadful vow according to the text.,{'google_bleu': 0.3902439024390244},True
73,What was the difference between Dundubhas and other serpents according to the text?,Dundubhas were serpents only in name and they were subject to the same calamities as other serpents but did not share their good fortune according to the text.,"The Dundubha was a serpent, which was a snake, and was ",{'google_bleu': 0.00909090909090909},True
74,What was the original name and form of the Dundubha that Ruru encountered according to the text?,"The original name and form of the Dundubha that Ruru encountered was Sahasrapat, a Rishi according to the text.",The original name and form of the Dundubha that Ruru encountered according to the,{'google_bleu': 0.5641025641025641},True
75,What was the name of the father of Astika according to the text?,The name of the father of Astika was Jaratkaru according to the text.,The name of the father of Astika was Jaratkaru according to the text.,{'google_bleu': 1.0},True
76,What did Jaratkaru see when he was travelling over the world according to the text?,"Jaratkaru saw his ancestors hanging heads down in a great hole, their feet pointing upwards when he was travelling over the world according to the text.","Jaratkaru saw various places, and he was able to see the king",{'google_bleu': 0.08490566037735849},False
77,Why were Jaratkaru's ancestors suspended in a hole according to the text?,Jaratkaru's ancestors were suspended in a hole because they were sinking low into the earth for want of offspring and they had a son named Jaratkaru who had entered upon a life of austerities only and did not think of raising offspring by marriage according to the text.,Jaratkaru's ancestors were suspended in a hole according to the,{'google_bleu': 0.14736842105263157},True
78,What did Jaratkaru's fathers command him to do according to the text?,Jaratkaru's fathers commanded him to set his heart upon marriage and offspring according to the text.,Jaratkaru's fathers command him to do according to the text.,{'google_bleu': 0.3225806451612903},False
79,What was the condition that Jaratkaru imposed for his marriage according to the text?,"The condition that Jaratkaru imposed for his marriage was that he would wed a bride of the same name with him, whose friends would willingly give her to him as a gift in charity according to the text.",Jaratkaru imposed on his wife a condition that was not to be able,{'google_bleu': 0.06493506493506493},True
80,What was the purpose of Jaratkaru's marriage and offspring according to the text?,The purpose of Jaratkaru's marriage and offspring was to redeem his fathers from their pitiable state and help them attain eternal regions of bliss according to the text.,Jaratkaru's marriage and offspring were intended to be a marriage between the,{'google_bleu': 0.10909090909090909},True
81,What was the curse that the mother of snakes had given to them according to the text?,"The mother of snakes had cursed them that Agni, who had the Wind for his charioteer, would burn them all in Janamejaya's sacrifice according to the text.",The curse that the mother of snakes had given to them was that they were burned in Ja,{'google_bleu': 0.14035087719298245},True
82,Who delivered the Nagas from a fiery death according to the text?,Astika delivered the Nagas from a fiery death according to the text.,The chief of the snakes delivered the Nagas from a fiery death according to,{'google_bleu': 0.62},True
83,How did Jaratkaru gratify his ancestors according to the text?,Jaratkaru gratified his ancestors by begetting offspring according to the text.,Jaratkaru gratified his ancestors according to the text by marrying,{'google_bleu': 0.5},False
84,What did Jaratkaru do to discharge his debt to his sires according to the text?,Jaratkaru discharged his debt to his sires by begetting offspring according to the text.,Jaratkaru discharged his debt to his sires according to the text.,{'google_bleu': 0.6666666666666666},True
85,Who were the two daughters of Prajapati that became the wives of Kasyapa according to the text?,Kadru and Vinata were the two daughters of Prajapati that became the wives of Kasyapa according to the text.,The two daughters of Prajapati that became the wives of Kasyapa according to the text,{'google_bleu': 0.6756756756756757},True
86,What boon did Kadru ask from Kasyapa according to the text?,Kadru asked for a boon to have for sons a thousand snakes all of equal splendour according to the text.,Kadru asked Kasyapa to give him a boon according to the text.,{'google_bleu': 0.2692307692307692},False
