,colname,colmin,colmax
92,Insurance_History_8_2,0.0,1.0
93,Insurance_History_9_0,0.0,1.0
94,Insurance_History_9_1,0.0,1.0
95,Insurance_History_9_2,0.0,1.0
96,Family_Hist_1_0,0.0,1.0
97,Family_Hist_1_1,0.0,1.0
98,Family_Hist_1_2,0.0,1.0
99,Medical_History_3_0,0.0,1.0
100,Medical_History_3_1,0.0,1.0
101,Medical_History_3_2,0.0,1.0
102,Medical_History_4_0,0.0,1.0
103,Medical_History_4_1,0.0,1.0
104,Medical_History_5_0,0.0,1.0
105,Medical_History_5_1,0.0,1.0
106,Medical_History_5_2,0.0,1.0
107,Medical_History_6_0,0.0,1.0
108,Medical_History_6_1,0.0,1.0
109,Medical_History_6_2,0.0,1.0
110,Medical_History_7_0,0.0,1.0
111,Medical_History_7_1,0.0,1.0
112,Medical_History_7_2,0.0,1.0
113,Medical_History_8_0,0.0,1.0
114,Medical_History_8_1,0.0,1.0
115,Medical_History_8_2,0.0,1.0
116,Medical_History_9_0,0.0,1.0
117,Medical_History_9_1,0.0,1.0
118,Medical_History_9_2,0.0,1.0
119,Medical_History_11_0,0.0,1.0
120,Medical_History_11_1,0.0,1.0
121,Medical_History_11_2,0.0,1.0
122,Medical_History_12_0,0.0,1.0
123,Medical_History_12_1,0.0,1.0
124,Medical_History_12_2,0.0,1.0
125,Medical_History_13_0,0.0,1.0
126,Medical_History_13_1,0.0,1.0
127,Medical_History_13_2,0.0,1.0
128,Medical_History_14_0,0.0,1.0
129,Medical_History_14_1,0.0,1.0
130,Medical_History_14_2,0.0,1.0
131,Medical_History_16_0,0.0,1.0
132,Medical_History_16_1,0.0,1.0
133,Medical_History_16_2,0.0,1.0
134,Medical_History_17_0,0.0,1.0
135,Medical_History_17_1,0.0,1.0
136,Medical_History_17_2,0.0,1.0
137,Medical_History_18_0,0.0,1.0
138,Medical_History_18_1,0.0,1.0
139,Medical_History_18_2,0.0,1.0
140,Medical_History_19_0,0.0,1.0
141,Medical_History_19_1,0.0,1.0
142,Medical_History_19_2,0.0,1.0
143,Medical_History_20_0,0.0,1.0
144,Medical_History_20_1,0.0,1.0
145,Medical_History_20_2,0.0,0.0
146,Medical_History_21_0,0.0,1.0
147,Medical_History_21_1,0.0,1.0
148,Medical_History_21_2,0.0,1.0
149,Medical_History_22_0,0.0,1.0
150,Medical_History_22_1,0.0,1.0
151,Medical_History_23_0,0.0,1.0
152,Medical_History_23_1,0.0,1.0
153,Medical_History_23_2,0.0,1.0
154,Medical_History_25_0,0.0,1.0
155,Medical_History_25_1,0.0,1.0
156,Medical_History_25_2,0.0,1.0
157,Medical_History_26_0,0.0,1.0
158,Medical_History_26_1,0.0,1.0
159,Medical_History_26_2,0.0,1.0
160,Medical_History_27_0,0.0,1.0
161,Medical_History_27_1,0.0,1.0
162,Medical_History_27_2,0.0,1.0
163,Medical_History_28_0,0.0,1.0
164,Medical_History_28_1,0.0,1.0
165,Medical_History_28_2,0.0,1.0
166,Medical_History_29_0,0.0,1.0
167,Medical_History_29_1,0.0,1.0
168,Medical_History_29_2,0.0,1.0
169,Medical_History_30_0,0.0,1.0
170,Medical_History_30_1,0.0,1.0
171,Medical_History_30_2,0.0,1.0
172,Medical_History_31_0,0.0,1.0
173,Medical_History_31_1,0.0,1.0
174,Medical_History_31_2,0.0,1.0
175,Medical_History_33_0,0.0,1.0
176,Medical_History_33_1,0.0,1.0
177,Medical_History_34_0,0.0,1.0
178,Medical_History_34_1,0.0,1.0
179,Medical_History_34_2,0.0,1.0
180,Medical_History_35_0,0.0,1.0
181,Medical_History_35_1,0.0,1.0
182,Medical_History_35_2,0.0,1.0
183,Medical_History_36_0,0.0,1.0
184,Medical_History_36_1,0.0,1.0
185,Medical_History_36_2,0.0,1.0
186,Medical_History_37_0,0.0,1.0
187,Medical_History_37_1,0.0,1.0
188,Medical_History_37_2,0.0,1.0
189,Medical_History_38_0,0.0,1.0
190,Medical_History_38_1,0.0,1.0
191,Medical_History_39_0,0.0,1.0
192,Medical_History_39_1,0.0,1.0
193,Medical_History_39_2,0.0,1.0
194,Medical_History_40_0,0.0,1.0
195,Medical_History_40_1,0.0,1.0
196,Medical_History_40_2,0.0,1.0
197,Medical_History_41_0,0.0,1.0
198,Medical_History_41_1,0.0,1.0
199,Medical_History_41_2,0.0,1.0
200,Medical_Keyword_1_0,0.0,1.0
201,Medical_Keyword_1_1,0.0,1.0
202,Medical_Keyword_2_0,0.0,1.0
203,Medical_Keyword_2_1,0.0,1.0
204,Medical_Keyword_3_0,0.0,1.0
205,Medical_Keyword_3_1,0.0,1.0
206,Medical_Keyword_4_0,0.0,1.0
207,Medical_Keyword_4_1,0.0,1.0
208,Medical_Keyword_5_0,0.0,1.0
209,Medical_Keyword_5_1,0.0,1.0
210,Medical_Keyword_6_0,0.0,1.0
211,Medical_Keyword_6_1,0.0,1.0
212,Medical_Keyword_7_0,0.0,1.0
213,Medical_Keyword_7_1,0.0,1.0
214,Medical_Keyword_8_0,0.0,1.0
215,Medical_Keyword_8_1,0.0,1.0
216,Medical_Keyword_9_0,0.0,1.0
217,Medical_Keyword_9_1,0.0,1.0
218,Medical_Keyword_10_0,0.0,1.0
219,Medical_Keyword_10_1,0.0,1.0
220,Medical_Keyword_11_0,0.0,1.0
221,Medical_Keyword_11_1,0.0,1.0
222,Medical_Keyword_12_0,0.0,1.0
223,Medical_Keyword_12_1,0.0,1.0
224,Medical_Keyword_13_0,0.0,1.0
225,Medical_Keyword_13_1,0.0,1.0
226,Medical_Keyword_14_0,0.0,1.0
227,Medical_Keyword_14_1,0.0,1.0
228,Medical_Keyword_15_0,0.0,1.0
229,Medical_Keyword_15_1,0.0,1.0
230,Medical_Keyword_16_0,0.0,1.0
231,Medical_Keyword_16_1,0.0,1.0
232,Medical_Keyword_17_0,0.0,1.0
233,Medical_Keyword_17_1,0.0,1.0
234,Medical_Keyword_18_0,0.0,1.0
235,Medical_Keyword_18_1,0.0,1.0
236,Medical_Keyword_19_0,0.0,1.0
237,Medical_Keyword_19_1,0.0,1.0
238,Medical_Keyword_20_0,0.0,1.0
239,Medical_Keyword_20_1,0.0,1.0
240,Medical_Keyword_21_0,0.0,1.0
241,Medical_Keyword_21_1,0.0,1.0
242,Medical_Keyword_22_0,0.0,1.0
243,Medical_Keyword_22_1,0.0,1.0
244,Medical_Keyword_23_0,0.0,1.0
245,Medical_Keyword_23_1,0.0,1.0
246,Medical_Keyword_24_0,0.0,1.0
247,Medical_Keyword_24_1,0.0,1.0
248,Medical_Keyword_25_0,0.0,1.0
249,Medical_Keyword_25_1,0.0,1.0
250,Medical_Keyword_26_0,0.0,1.0
251,Medical_Keyword_26_1,0.0,1.0
252,Medical_Keyword_27_0,0.0,1.0
253,Medical_Keyword_27_1,0.0,1.0
254,Medical_Keyword_28_0,0.0,1.0
255,Medical_Keyword_28_1,0.0,1.0
256,Medical_Keyword_29_0,0.0,1.0
257,Medical_Keyword_29_1,0.0,1.0
258,Medical_Keyword_30_0,0.0,1.0
259,Medical_Keyword_30_1,0.0,1.0
260,Medical_Keyword_31_0,0.0,1.0
261,Medical_Keyword_31_1,0.0,1.0
262,Medical_Keyword_32_0,0.0,1.0
263,Medical_Keyword_32_1,0.0,1.0
264,Medical_Keyword_33_0,0.0,1.0
265,Medical_Keyword_33_1,0.0,1.0
266,Medical_Keyword_34_0,0.0,1.0
267,Medical_Keyword_34_1,0.0,1.0
268,Medical_Keyword_35_0,0.0,1.0
269,Medical_Keyword_35_1,0.0,1.0
270,Medical_Keyword_36_0,0.0,1.0
271,Medical_Keyword_36_1,0.0,1.0
272,Medical_Keyword_37_0,0.0,1.0
273,Medical_Keyword_37_1,0.0,1.0
274,Medical_Keyword_38_0,0.0,1.0
275,Medical_Keyword_38_1,0.0,1.0
276,Medical_Keyword_39_0,0.0,1.0
277,Medical_Keyword_39_1,0.0,1.0
278,Medical_Keyword_40_0,0.0,1.0
279,Medical_Keyword_40_1,0.0,1.0
280,Medical_Keyword_41_0,0.0,1.0
281,Medical_Keyword_41_1,0.0,1.0
282,Medical_Keyword_42_0,0.0,1.0
283,Medical_Keyword_42_1,0.0,1.0
284,Medical_Keyword_43_0,0.0,1.0
285,Medical_Keyword_43_1,0.0,1.0
286,Medical_Keyword_44_0,0.0,1.0
287,Medical_Keyword_44_1,0.0,1.0
288,Medical_Keyword_45_0,0.0,1.0
289,Medical_Keyword_45_1,0.0,1.0
290,Medical_Keyword_46_0,0.0,1.0
291,Medical_Keyword_46_1,0.0,1.0
292,Medical_Keyword_47_0,0.0,1.0
293,Medical_Keyword_47_1,0.0,1.0
294,Medical_Keyword_48_0,0.0,1.0
295,Medical_Keyword_48_1,0.0,1.0
