,Fname,Original,Numeric
2,Medical_History_37,3,2
0,Medical_History_38,1,0
1,Medical_History_38,2,1
0,Medical_History_39,3,0
1,Medical_History_39,1,1
2,Medical_History_39,2,2
0,Medical_History_40,3,0
1,Medical_History_40,1,1
2,Medical_History_40,2,2
0,Medical_History_41,3,0
1,Medical_History_41,1,1
2,Medical_History_41,2,2
0,Medical_Keyword_1,0,0
1,Medical_Keyword_1,1,1
0,Medical_Keyword_2,0,0
1,Medical_Keyword_2,1,1
0,Medical_Keyword_3,0,0
1,Medical_Keyword_3,1,1
0,Medical_Keyword_4,0,0
1,Medical_Keyword_4,1,1
0,Medical_Keyword_5,0,0
1,Medical_Keyword_5,1,1
0,Medical_Keyword_6,0,0
1,Medical_Keyword_6,1,1
0,Medical_Keyword_7,0,0
1,Medical_Keyword_7,1,1
0,Medical_Keyword_8,0,0
1,Medical_Keyword_8,1,1
0,Medical_Keyword_9,0,0
1,Medical_Keyword_9,1,1
0,Medical_Keyword_10,0,0
1,Medical_Keyword_10,1,1
0,Medical_Keyword_11,0,0
1,Medical_Keyword_11,1,1
0,Medical_Keyword_12,0,0
1,Medical_Keyword_12,1,1
0,Medical_Keyword_13,0,0
1,Medical_Keyword_13,1,1
0,Medical_Keyword_14,0,0
1,Medical_Keyword_14,1,1
0,Medical_Keyword_15,0,0
1,Medical_Keyword_15,1,1
0,Medical_Keyword_16,0,0
1,Medical_Keyword_16,1,1
0,Medical_Keyword_17,0,0
1,Medical_Keyword_17,1,1
0,Medical_Keyword_18,0,0
1,Medical_Keyword_18,1,1
0,Medical_Keyword_19,0,0
1,Medical_Keyword_19,1,1
0,Medical_Keyword_20,0,0
1,Medical_Keyword_20,1,1
0,Medical_Keyword_21,0,0
1,Medical_Keyword_21,1,1
0,Medical_Keyword_22,0,0
1,Medical_Keyword_22,1,1
0,Medical_Keyword_23,0,0
1,Medical_Keyword_23,1,1
0,Medical_Keyword_24,0,0
1,Medical_Keyword_24,1,1
0,Medical_Keyword_25,0,0
1,Medical_Keyword_25,1,1
0,Medical_Keyword_26,0,0
1,Medical_Keyword_26,1,1
0,Medical_Keyword_27,0,0
1,Medical_Keyword_27,1,1
0,Medical_Keyword_28,0,0
1,Medical_Keyword_28,1,1
0,Medical_Keyword_29,0,0
1,Medical_Keyword_29,1,1
0,Medical_Keyword_30,0,0
1,Medical_Keyword_30,1,1
0,Medical_Keyword_31,0,0
1,Medical_Keyword_31,1,1
0,Medical_Keyword_32,0,0
1,Medical_Keyword_32,1,1
0,Medical_Keyword_33,0,0
1,Medical_Keyword_33,1,1
0,Medical_Keyword_34,0,0
1,Medical_Keyword_34,1,1
0,Medical_Keyword_35,0,0
1,Medical_Keyword_35,1,1
0,Medical_Keyword_36,0,0
1,Medical_Keyword_36,1,1
0,Medical_Keyword_37,0,0
1,Medical_Keyword_37,1,1
0,Medical_Keyword_38,0,0
1,Medical_Keyword_38,1,1
0,Medical_Keyword_39,0,0
1,Medical_Keyword_39,1,1
0,Medical_Keyword_40,0,0
1,Medical_Keyword_40,1,1
0,Medical_Keyword_41,0,0
1,Medical_Keyword_41,1,1
0,Medical_Keyword_42,0,0
1,Medical_Keyword_42,1,1
0,Medical_Keyword_43,0,0
1,Medical_Keyword_43,1,1
0,Medical_Keyword_44,0,0
1,Medical_Keyword_44,1,1
0,Medical_Keyword_45,0,0
1,Medical_Keyword_45,1,1
0,Medical_Keyword_46,0,0
1,Medical_Keyword_46,1,1
0,Medical_Keyword_47,0,0
1,Medical_Keyword_47,1,1
0,Medical_Keyword_48,0,0
1,Medical_Keyword_48,1,1
