,Ques_Id,Chunk_Id,Pred_Chunk_Id,FoundIn@1,FoundIn@2,FoundIn@3,FoundIn@4,FoundIn@5,FoundIn@10,P@1,P@2,P@3,P@4,P@5,P@10,R@1,R@2,R@3,R@4,R@5,R@10,F1@1,F1@2,F1@3,F1@4,F1@5,F1@10,MAP,RR
21,10021,10443,"['id10455', 'id10004', 'id170', 'id10772', 'id253', 'id10595', 'id171', 'id10265', 'id98', 'id10797']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,10022,10443,"['id10455', 'id237', 'id7', 'id98', 'id123', 'id178', 'id128', 'id127', 'id10004', 'id10010']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,10023,10443,"['id10416', 'id83', 'id10421', 'id90', 'id10460', 'id122', 'id88', 'id224', 'id81', 'id82']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,10024,10443,"['id97', 'id10414', 'id115', 'id226', 'id92', 'id10506', 'id10421', 'id10704', 'id10080', 'id101']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,10025,10430,"['id278', 'id10606', 'id10361', 'id10430', 'id89', 'id10143', 'id127', 'id248', 'id250', 'id159']",0,0,0,1,1,1,0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.18,0.04,0.25
26,10026,10430,"['id10430', 'id10182', 'id300', 'id162', 'id61', 'id10297', 'id10148', 'id68', 'id140', 'id216']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
27,10027,10430,"['id10430', 'id10182', 'id10297', 'id10175', 'id10206', 'id10482', 'id42', 'id149', 'id28', 'id162']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
28,10028,10430,"['id10270', 'id150', 'id10557', 'id10263', 'id10087', 'id190', 'id10265', 'id10310', 'id10865', 'id10862']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,10029,10430,"['id10430', 'id10182', 'id10297', 'id10206', 'id149', 'id10175', 'id61', 'id42', 'id28', 'id162']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
30,10030,10435,"['id94', 'id10435', 'id201', 'id10604', 'id206', 'id10337', 'id71', 'id224', 'id10766', 'id222']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
31,10031,10435,"['id10435', 'id83', 'id94', 'id10347', 'id86', 'id72', 'id90', 'id10416', 'id201', 'id10753']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
32,10032,10435,"['id10435', 'id94', 'id61', 'id10297', 'id164', 'id10766', 'id217', 'id216', 'id162', 'id2']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
33,10033,10435,"['id10435', 'id94', 'id83', 'id10766', 'id10423', 'id164', 'id72', 'id10400', 'id86', 'id10340']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
34,10034,10435,"['id10435', 'id94', 'id10423', 'id2', 'id10632', 'id83', 'id164', 'id10586', 'id10337', 'id71']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
35,10035,10439,"['id23', 'id10104', 'id20', 'id43', 'id10416', 'id297', 'id10274', 'id27', 'id56', 'id10087']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,10036,10439,"['id10439', 'id10291', 'id210', 'id244', 'id141', 'id33', 'id272', 'id10808', 'id10869', 'id89']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
37,10037,10439,"['id10176', 'id36', 'id41', 'id89', 'id10400', 'id42', 'id146', 'id10419', 'id86', 'id10575']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,10038,10439,"['id10439', 'id270', 'id10176', 'id218', 'id36', 'id240', 'id10592', 'id10808', 'id33', 'id10704']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
39,10039,10439,"['id10287', 'id10176', 'id36', 'id10213', 'id33', 'id288', 'id39', 'id10190', 'id10088', 'id10187']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,10040,10021,"['id14', 'id10021', 'id10745', 'id63', 'id10490', 'id10562', 'id57', 'id10482', 'id10821', 'id234']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
41,10041,10021,"['id14', 'id10021', 'id10745', 'id10490', 'id10562', 'id116', 'id234', 'id10414', 'id10682', 'id10176']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
42,10042,10021,"['id14', 'id10021', 'id10562', 'id10414', 'id116', 'id120', 'id234', 'id249', 'id10408', 'id10745']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
43,10043,10020,"['id13', 'id10020', 'id10189', 'id10384', 'id10387', 'id10229', 'id225', 'id253', 'id200', 'id237']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
44,10044,10020,"['id13', 'id10020', 'id10466', 'id41', 'id66', 'id10189', 'id10221', 'id83', 'id191', 'id10833']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
45,10045,10020,"['id13', 'id10020', 'id41', 'id10221', 'id275', 'id10001', 'id1', 'id233', 'id46', 'id200']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
46,10046,10084,"['id10805', 'id174', 'id10506', 'id10182', 'id10084', 'id244', 'id10148', 'id10297', 'id2', 'id10430']",0,0,0,0,1,1,0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.18,0.04,0.2
47,10047,10084,"['id10085', 'id10081', 'id10084', 'id10572', 'id239', 'id10202', 'id238', 'id299', 'id27', 'id10849']",0,0,1,1,1,1,0,0.0,0.33,0.25,0.2,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.4,0.33,0.18,0.16,0.33
48,10048,10084,"['id10085', 'id10084', 'id233', 'id10847', 'id10081', 'id183', 'id42', 'id238', 'id248', 'id240']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
49,10049,10333,"['id10333', 'id10375', 'id79', 'id102', 'id88', 'id10406', 'id10097', 'id10008', 'id267', 'id10199']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
50,10050,10333,"['id10333', 'id183', 'id10229', 'id45', 'id200', 'id252', 'id10208', 'id110', 'id75', 'id10166']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
51,10051,10333,"['id10333', 'id10361', 'id10632', 'id10347', 'id10345', 'id203', 'id217', 'id10627', 'id289', 'id68']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
52,10052,10333,"['id10333', 'id209', 'id236', 'id203', 'id202', 'id10632', 'id231', 'id215', 'id214', 'id10775']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
53,10053,10333,"['id10330', 'id10632', 'id72', 'id217', 'id10347', 'id10602', 'id134', 'id10595', 'id10627', 'id201']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,10054,10862,"['id10862', 'id15', 'id10372', 'id78', 'id194', 'id10480', 'id10263', 'id163', 'id10378', 'id261']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
55,10055,10862,"['id10862', 'id295', 'id287', 'id190', 'id10372', 'id179', 'id262', 'id180', 'id10255', 'id10640']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
56,10056,10862,"['id10105', 'id10104', 'id10862', 'id56', 'id51', 'id23', 'id10130', 'id187', 'id10274', 'id60']",0,0,1,1,1,1,0,0.0,0.33,0.25,0.2,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.4,0.33,0.18,0.16,0.33
57,10057,10862,"['id10862', 'id10878', 'id20', 'id113', 'id64', 'id90', 'id264', 'id83', 'id190', 'id10127']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
58,10058,10862,"['id10862', 'id10878', 'id72', 'id10195', 'id10435', 'id190', 'id10604', 'id90', 'id10425', 'id10098']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
59,10059,10375,"['id2', 'id79', 'id10380', 'id10375', 'id78', 'id10372', 'id10097', 'id76', 'id10365', 'id10506']",0,0,0,1,1,1,0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.18,0.04,0.25
60,10060,10375,"['id10375', 'id79', 'id2', 'id230', 'id78', 'id263', 'id282', 'id289', 'id10423', 'id123']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
61,10061,10375,"['id10375', 'id79', 'id78', 'id10372', 'id277', 'id110', 'id10006', 'id4', 'id10636', 'id10497']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
62,10062,10375,"['id261', 'id10375', 'id79', 'id175', 'id10355', 'id218', 'id289', 'id10783', 'id263', 'id2']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
63,10063,10375,"['id10375', 'id79', 'id78', 'id10372', 'id277', 'id276', 'id10365', 'id289', 'id218', 'id2']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
64,10064,10538,"['id10541', 'id10546', 'id158', 'id10538', 'id177', 'id10240', 'id123', 'id122', 'id4', 'id10006']",0,0,0,1,1,1,0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.18,0.04,0.25
65,10065,10538,"['id10538', 'id10572', 'id116', 'id10240', 'id10656', 'id166', 'id10546', 'id10541', 'id177', 'id10005']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
66,10066,10538,"['id10240', 'id10005', 'id4', 'id10010', 'id185', 'id10006', 'id10827', 'id10811', 'id10016', 'id177']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,10067,10538,"['id10546', 'id10541', 'id10538', 'id116', 'id166', 'id10551', 'id158', 'id219', 'id113', 'id10565']",0,0,1,1,1,1,0,0.0,0.33,0.25,0.2,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.4,0.33,0.18,0.16,0.33
68,10068,10517,"['id10517', 'id10512', 'id10237', 'id111', 'id139', 'id130', 'id10733', 'id10621', 'id10736', 'id10551']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
69,10069,10517,"['id10517', 'id111', 'id10512', 'id139', 'id10237', 'id130', 'id185', 'id10', 'id255', 'id10793']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
70,10070,10517,"['id10517', 'id111', 'id10512', 'id130', 'id118', 'id139', 'id10827', 'id10649', 'id10736', 'id58']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
71,10071,10517,"['id10512', 'id10517', 'id111', 'id118', 'id139', 'id10753', 'id10237', 'id10736', 'id10621', 'id10733']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
72,10072,10517,"['id111', 'id10512', 'id138', 'id139', 'id182', 'id10753', 'id10839', 'id10517', 'id134', 'id200']",0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.12
73,10073,10171,"['id10414', 'id10435', 'id10217', 'id10171', 'id216', 'id246', 'id10805', 'id10347', 'id10472', 'id40']",0,0,0,1,1,1,0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.18,0.04,0.25
74,10074,10171,"['id10213', 'id10169', 'id10100', 'id38', 'id22', 'id10166', 'id10092', 'id44', 'id33', 'id10160']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,10075,10345,"['id10330', 'id72', 'id10345', 'id10347', 'id73', 'id71', 'id10337', 'id201', 'id10328', 'id10343']",0,0,1,1,1,1,0,0.0,0.33,0.25,0.2,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.4,0.33,0.18,0.16,0.33
76,10076,10345,"['id10330', 'id73', 'id10345', 'id150', 'id72', 'id10347', 'id10425', 'id83', 'id10087', 'id201']",0,0,1,1,1,1,0,0.0,0.33,0.25,0.2,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.4,0.33,0.18,0.16,0.33
77,10077,10345,"['id10330', 'id71', 'id10337', 'id10347', 'id10345', 'id10328', 'id73', 'id72', 'id201', 'id217']",0,0,0,0,1,1,0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.33,0.18,0.04,0.2
78,10078,10345,"['id10387', 'id10340', 'id10380', 'id71', 'id10337', 'id10359', 'id66', 'id10002', 'id72', 'id10268']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,10079,10345,"['id10387', 'id71', 'id10337', 'id10359', 'id10380', 'id10268', 'id66', 'id83', 'id72', 'id55']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,10080,10772,"['id154', 'id123', 'id10772', 'id7', 'id10586', 'id10010', 'id10632', 'id10722', 'id230', 'id10595']",0,0,1,1,1,1,0,0.0,0.33,0.25,0.2,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.4,0.33,0.18,0.16,0.33
81,10081,10772,"['id10772', 'id10586', 'id10632', 'id168', 'id10387', 'id10753', 'id10609', 'id10010', 'id113', 'id123']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
82,10082,10772,"['id10772', 'id168', 'id10753', 'id10586', 'id10632', 'id98', 'id62', 'id10609', 'id10010', 'id83']",1,1,1,1,1,1,1,0.5,0.33,0.25,0.2,0.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.5,0.4,0.33,0.18,0.46,1.0
83,10083,10772,"['id10609', 'id10632', 'id10670', 'id10595', 'id10237', 'id123', 'id142', 'id9', 'id176', 'id10586']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,10084,10551,"['id113', 'id10551', 'id10656', 'id57', 'id140', 'id10538', 'id112', 'id10530', 'id10772', 'id141']",0,1,1,1,1,1,0,0.5,0.33,0.25,0.2,0.1,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.67,0.5,0.4,0.33,0.18,0.26,0.5
85,10085,10551,"['id10419', 'id158', 'id10551', 'id160', 'id10745', 'id10733', 'id10567', 'id272', 'id122', 'id156']",0,0,1,1,1,1,0,0.0,0.33,0.25,0.2,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5,0.4,0.33,0.18,0.16,0.33
86,10086,10551,"['id118', 'id10315', 'id10736', 'id181', 'id10146', 'id166', 'id10530', 'id243', 'id67', 'id158']",0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,10087,10551,"['id118', 'id10512', 'id135', 'id130', 'id10736', 'id10517', 'id158', 'id111', 'id166', 'id10551']",0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.1
